Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves hd,34.0,60.0,0.5666666666666667,1.0,2019-05-12,gsc_property,worldwide,mobile,
tuves,32.0,49.0,0.6530612244897959,1.0612244897959184,2019-05-12,gsc_property,worldwide,mobile,
tuves chile,26.0,36.0,0.7222222222222222,1.0,2019-05-12,gsc_property,worldwide,mobile,
tu ves,23.0,39.0,0.5897435897435898,1.205128205128205,2019-05-12,gsc_property,worldwide,mobile,
tuves hd planes,16.0,18.0,0.8888888888888888,1.0,2019-05-12,gsc_property,worldwide,mobile,
tu ves hd,15.0,19.0,0.7894736842105263,1.0,2019-05-12,gsc_property,worldwide,mobile,
tuves hd chile,14.0,16.0,0.875,1.0,2019-05-12,gsc_property,worldwide,mobile,
tuves hd numero telefonico,7.0,14.0,0.5,1.8571428571428572,2019-05-12,gsc_property,worldwide,mobile,
tv cable,7.0,67.0,0.1044776119402985,3.8656716417910446,2019-05-12,gsc_property,worldwide,mobile,
pagar tuves,6.0,21.0,0.2857142857142857,1.9523809523809523,2019-05-12,gsc_property,worldwide,mobile,
cable tuves,5.0,12.0,0.4166666666666667,1.0,2019-05-12,gsc_property,worldwide,mobile,
tuves hd gratis,5.0,10.0,0.5,1.0,2019-05-12,gsc_property,worldwide,mobile,
tuves.cl,5.0,7.0,0.7142857142857143,1.0,2019-05-12,gsc_property,worldwide,mobile,
tuveshd,5.0,16.0,0.3125,1.0,2019-05-12,gsc_property,worldwide,mobile,
tu vez hd,4.0,11.0,0.36363636363636365,1.0909090909090908,2019-05-12,gsc_property,worldwide,mobile,
tuves hd cdf hd,4.0,5.0,0.8,1.0,2019-05-12,gsc_property,worldwide,mobile,
tuves hd pagos,4.0,13.0,0.3076923076923077,2.0,2019-05-12,gsc_property,worldwide,mobile,
canales online,3.0,68.0,0.04411764705882353,8.279411764705882,2019-05-12,gsc_property,worldwide,mobile,
numero de tuves,3.0,5.0,0.6,1.2,2019-05-12,gsc_property,worldwide,mobile,
programacion hbo chile,3.0,740.0,0.004054054054054054,9.393243243243242,2019-05-12,gsc_property,worldwide,mobile,
servicio al cliente tuves,3.0,5.0,0.6,1.0,2019-05-12,gsc_property,worldwide,mobile,
tu tv,3.0,17.0,0.17647058823529413,2.8235294117647056,2019-05-12,gsc_property,worldwide,mobile,
tuves en linea,3.0,4.0,0.75,2.0,2019-05-12,gsc_property,worldwide,mobile,
tuves telefono,3.0,5.0,0.6,1.4,2019-05-12,gsc_property,worldwide,mobile,
tv hd,3.0,40.0,0.075,4.725,2019-05-12,gsc_property,worldwide,mobile,
www.tuves.cl,3.0,7.0,0.42857142857142855,1.0,2019-05-12,gsc_property,worldwide,mobile,
cable tv,2.0,16.0,0.125,5.125,2019-05-12,gsc_property,worldwide,mobile,
canales hd online,2.0,7.0,0.2857142857142857,8.285714285714285,2019-05-12,gsc_property,worldwide,mobile,
mi punto tuves.cl,2.0,3.0,0.6666666666666666,1.3333333333333333,2019-05-12,gsc_property,worldwide,mobile,
