Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves hd,45.0,60.0,0.75,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuves,41.0,67.0,0.6119402985074627,1.1492537313432836,2019-05-16,gsc_property,worldwide,mobile,
tu ves,40.0,68.0,0.5882352941176471,1.0147058823529411,2019-05-16,gsc_property,worldwide,mobile,
tuves chile,37.0,47.0,0.7872340425531915,1.0,2019-05-16,gsc_property,worldwide,mobile,
tu ves hd,25.0,39.0,0.6410256410256411,1.0,2019-05-16,gsc_property,worldwide,mobile,
tu ves cable,12.0,14.0,0.8571428571428571,1.0,2019-05-16,gsc_property,worldwide,mobile,
tv cable,11.0,67.0,0.16417910447761194,3.985074626865672,2019-05-16,gsc_property,worldwide,mobile,
tuvez,9.0,11.0,0.8181818181818182,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuves hd gratis,7.0,13.0,0.5384615384615384,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuves.cl,6.0,9.0,0.6666666666666666,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuveshd,6.0,13.0,0.46153846153846156,1.0,2019-05-16,gsc_property,worldwide,mobile,
tu vez,5.0,10.0,0.5,2.2,2019-05-16,gsc_property,worldwide,mobile,
tu vez hd,5.0,10.0,0.5,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuves hd pagos,5.0,20.0,0.25,2.0,2019-05-16,gsc_property,worldwide,mobile,
tuves programacion,5.0,6.0,0.8333333333333334,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuveshd.cl,5.0,10.0,0.5,1.0,2019-05-16,gsc_property,worldwide,mobile,
www tuves cl,5.0,5.0,1.0,1.0,2019-05-16,gsc_property,worldwide,mobile,
www.tuves.cl,5.0,7.0,0.7142857142857143,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuves hd cdf hd,4.0,5.0,0.8,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuves hd chile,4.0,4.0,1.0,1.0,2019-05-16,gsc_property,worldwide,mobile,
cable tuves,3.0,7.0,0.42857142857142855,1.0,2019-05-16,gsc_property,worldwide,mobile,
call center tuves hd,3.0,5.0,0.6,1.0,2019-05-16,gsc_property,worldwide,mobile,
configuracion decodificador tuves,3.0,3.0,1.0,1.0,2019-05-16,gsc_property,worldwide,mobile,
numero de telefono de tuves,3.0,9.0,0.3333333333333333,1.6666666666666665,2019-05-16,gsc_property,worldwide,mobile,
tuves canales,3.0,3.0,1.0,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuves hd pagar,3.0,9.0,0.3333333333333333,2.0,2019-05-16,gsc_property,worldwide,mobile,
tuves hd pago,3.0,5.0,0.6,2.0,2019-05-16,gsc_property,worldwide,mobile,
tuves prepago,3.0,3.0,1.0,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuvezhd,3.0,9.0,0.3333333333333333,1.0,2019-05-16,gsc_property,worldwide,mobile,
como configurar control tuves hd,2.0,3.0,0.6666666666666666,1.0,2019-05-16,gsc_property,worldwide,mobile,
fono tuves hd,2.0,2.0,1.0,1.0,2019-05-16,gsc_property,worldwide,mobile,
hd tuves,2.0,4.0,0.5,1.0,2019-05-16,gsc_property,worldwide,mobile,
mi punto tuves.cl,2.0,4.0,0.5,1.0,2019-05-16,gsc_property,worldwide,mobile,
mipunto tubes cl,2.0,2.0,1.0,1.0,2019-05-16,gsc_property,worldwide,mobile,
pagar tuves,2.0,11.0,0.18181818181818182,2.0,2019-05-16,gsc_property,worldwide,mobile,
problemas con tuves hd,2.0,4.0,0.5,1.0,2019-05-16,gsc_property,worldwide,mobile,
tu tv,2.0,5.0,0.4,1.0,2019-05-16,gsc_property,worldwide,mobile,
tu tv hd,2.0,33.0,0.06060606060606061,4.787878787878788,2019-05-16,gsc_property,worldwide,mobile,
tu veshd,2.0,7.0,0.2857142857142857,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuves hd contacto,2.0,3.0,0.6666666666666666,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuves hd telefono,2.0,2.0,1.0,2.0,2019-05-16,gsc_property,worldwide,mobile,
tuves ovalle,2.0,2.0,1.0,1.0,2019-05-16,gsc_property,worldwide,mobile,
tuves pago,2.0,10.0,0.2,2.0,2019-05-16,gsc_property,worldwide,mobile,
tuves tv chile,2.0,3.0,0.6666666666666666,1.0,2019-05-16,gsc_property,worldwide,mobile,
tv cable tuves,2.0,2.0,1.0,1.0,2019-05-16,gsc_property,worldwide,mobile,
tv satelital,2.0,24.0,0.08333333333333333,4.0,2019-05-16,gsc_property,worldwide,mobile,
cable hd,1.0,1.0,1.0,1.0,2019-05-16,gsc_property,worldwide,mobile,
cable tuves hd,1.0,2.0,0.5,1.0,2019-05-16,gsc_property,worldwide,mobile,
cables de tv,1.0,1.0,1.0,10.0,2019-05-16,gsc_property,worldwide,mobile,
canales online,1.0,66.0,0.015151515151515152,8.56060606060606,2019-05-16,gsc_property,worldwide,mobile,
donde pagar tuves,1.0,1.0,1.0,1.0,2019-05-16,gsc_property,worldwide,mobile,
empresas de cable en chile,1.0,1.0,1.0,2.0,2019-05-16,gsc_property,worldwide,mobile,
