Keyword,Clicks,Impressions,CTR,Position,Date,Page,Country,Device
keiphone,30.0,46.0,0.6521739130434783,1.0,2019-01-01,gsc_property,worldwide,mobile,
keiphone chile,5.0,5.0,1.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
keyphone,4.0,6.0,0.6666666666666666,1.0,2019-01-01,gsc_property,worldwide,mobile,
celular chileno,3.0,8.0,0.375,1.0,2019-01-01,gsc_property,worldwide,mobile,
k10s helio,3.0,4.0,0.75,1.0,2019-01-01,gsc_property,worldwide,mobile,
keiphone k10,3.0,7.0,0.42857142857142855,1.0,2019-01-01,gsc_property,worldwide,mobile,
kei f1,2.0,2.0,1.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
keiphone k10 caracteristicas y especificaciones,2.0,3.0,0.6666666666666666,2.0,2019-01-01,gsc_property,worldwide,mobile,
keiphone smartwatch,2.0,4.0,0.5,1.0,2019-01-01,gsc_property,worldwide,mobile,
key phone,2.0,2.0,1.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
celular chileno keiphone,1.0,1.0,1.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
celulares chilenos,1.0,1.0,1.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
keiphone f5,1.0,2.0,0.5,1.0,2019-01-01,gsc_property,worldwide,mobile,
keiphone k10 helio,1.0,1.0,1.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
keiphone opiniones,1.0,1.0,1.0,3.0,2019-01-01,gsc_property,worldwide,mobile,
kphone,1.0,7.0,0.14285714285714285,3.4285714285714284,2019-01-01,gsc_property,worldwide,mobile,
marca chilena de celulares,1.0,1.0,1.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
cambio de pantalla,0.0,1.0,0.0,10.0,2019-01-01,gsc_property,worldwide,mobile,
celular hecho en chile,0.0,1.0,0.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
celulares liberados chile ley,0.0,1.0,0.0,6.0,2019-01-01,gsc_property,worldwide,mobile,
certificación de celular en chile,0.0,1.0,0.0,7.0,2019-01-01,gsc_property,worldwide,mobile,
como sacar pantallazo,0.0,6.0,0.0,8.5,2019-01-01,gsc_property,worldwide,mobile,
k10 helio,0.0,1.0,0.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
k10 helio opiniones,0.0,1.0,0.0,3.0,2019-01-01,gsc_property,worldwide,mobile,
k10s,0.0,1.0,0.0,3.0,2019-01-01,gsc_property,worldwide,mobile,
k10s helio caracteristicas,0.0,1.0,0.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
kei f3,0.0,1.0,0.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
keifit,0.0,1.0,0.0,5.0,2019-01-01,gsc_property,worldwide,mobile,
keiphone k10 opiniones,0.0,1.0,0.0,2.0,2019-01-01,gsc_property,worldwide,mobile,
keiphone k10s helio opiniones,0.0,2.0,0.0,4.0,2019-01-01,gsc_property,worldwide,mobile,
keiphone reclamos,0.0,3.0,0.0,4.333333333333334,2019-01-01,gsc_property,worldwide,mobile,
lg k10 2017 smartgsm,0.0,1.0,0.0,10.0,2019-01-01,gsc_property,worldwide,mobile,
parlante bluedio,0.0,2.0,0.0,9.0,2019-01-01,gsc_property,worldwide,mobile,
pro x,0.0,1.0,0.0,4.0,2019-01-01,gsc_property,worldwide,mobile,
que pasa si no homologo mi celular chile,0.0,1.0,0.0,3.0,2019-01-01,gsc_property,worldwide,mobile,
que pasa si no se homologa un celular,0.0,1.0,0.0,6.0,2019-01-01,gsc_property,worldwide,mobile,
reloj inteligente para niños chile,0.0,1.0,0.0,10.0,2019-01-01,gsc_property,worldwide,mobile,
sacar pantallazo android,0.0,1.0,0.0,10.0,2019-01-01,gsc_property,worldwide,mobile,
smartphone chile,0.0,2.0,0.0,10.0,2019-01-01,gsc_property,worldwide,mobile,
smartwatch chile,0.0,1.0,0.0,46.0,2019-01-01,gsc_property,worldwide,mobile,
smartwatch f1,0.0,1.0,0.0,4.0,2019-01-01,gsc_property,worldwide,mobile,
smartwatch keiphone,0.0,1.0,0.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
smartwatch keiphone f5,0.0,1.0,0.0,1.0,2019-01-01,gsc_property,worldwide,mobile,
telefonos chilenos,0.0,1.0,0.0,2.0,2019-01-01,gsc_property,worldwide,mobile,
keiphone,8.0,9.0,0.8888888888888888,1.0,2019-01-01,gsc_property,worldwide,desktop,
celular chileno,1.0,1.0,1.0,1.0,2019-01-01,gsc_property,worldwide,desktop,
k10s helio,1.0,1.0,1.0,1.0,2019-01-01,gsc_property,worldwide,desktop,
keiphone f5,1.0,2.0,0.5,1.0,2019-01-01,gsc_property,worldwide,desktop,
keiphone k10s,1.0,1.0,1.0,1.0,2019-01-01,gsc_property,worldwide,desktop,
keiphone k10s helio,1.0,3.0,0.3333333333333333,1.0,2019-01-01,gsc_property,worldwide,desktop,
keiphone reclamos,1.0,5.0,0.2,3.2,2019-01-01,gsc_property,worldwide,desktop,
keyphone,1.0,1.0,1.0,1.0,2019-01-01,gsc_property,worldwide,desktop,
smartphones chile,1.0,1.0,1.0,28.0,2019-01-01,gsc_property,worldwide,desktop,
"""navegar""",0.0,1.0,0.0,45.0,2019-01-01,gsc_property,worldwide,desktop,
"""smartwatch""",0.0,2.0,0.0,30.5,2019-01-01,gsc_property,worldwide,desktop,
"""tienda""",0.0,1.0,0.0,75.0,2019-01-01,gsc_property,worldwide,desktop,
ajustando el kei,0.0,1.0,0.0,3.0,2019-01-01,gsc_property,worldwide,desktop,
bateria k8,0.0,1.0,0.0,26.0,2019-01-01,gsc_property,worldwide,desktop,
cambio de pantalla,0.0,1.0,0.0,23.0,2019-01-01,gsc_property,worldwide,desktop,
celular chile,0.0,1.0,0.0,24.0,2019-01-01,gsc_property,worldwide,desktop,
celulares smartphone,0.0,1.0,0.0,28.0,2019-01-01,gsc_property,worldwide,desktop,
certificación de celular en chile,0.0,1.0,0.0,7.0,2019-01-01,gsc_property,worldwide,desktop,
como bloquear un contacto en android,0.0,1.0,0.0,56.0,2019-01-01,gsc_property,worldwide,desktop,
compara telefonos,0.0,1.0,0.0,16.0,2019-01-01,gsc_property,worldwide,desktop,
compra helio,0.0,1.0,0.0,23.0,2019-01-01,gsc_property,worldwide,desktop,
comprar celulares en chile,0.0,1.0,0.0,74.0,2019-01-01,gsc_property,worldwide,desktop,
cyberday smartphone,0.0,1.0,0.0,51.0,2019-01-01,gsc_property,worldwide,desktop,
dz,0.0,1.0,0.0,36.0,2019-01-01,gsc_property,worldwide,desktop,
emparejar smartwatch,0.0,2.0,0.0,16.5,2019-01-01,gsc_property,worldwide,desktop,
ex19,0.0,1.0,0.0,9.0,2019-01-01,gsc_property,worldwide,desktop,
f3,0.0,2.0,0.0,4.0,2019-01-01,gsc_property,worldwide,desktop,
garantia celulares falabella,0.0,1.0,0.0,59.0,2019-01-01,gsc_property,worldwide,desktop,
homologacion celulares,0.0,1.0,0.0,11.0,2019-01-01,gsc_property,worldwide,desktop,
homologacion chile,0.0,1.0,0.0,67.0,2019-01-01,gsc_property,worldwide,desktop,
k 10,0.0,1.0,0.0,49.0,2019-01-01,gsc_property,worldwide,desktop,
