Keyword,Clicks,Impressions,CTR,Position,Date,Page,Country,Device
keyphone,7.0,8.0,0.875,1.0,2019-01-02,gsc_property,worldwide,desktop,
k10 helio,2.0,2.0,1.0,1.0,2019-01-02,gsc_property,worldwide,desktop,
keiphone f5,2.0,3.0,0.6666666666666666,1.0,2019-01-02,gsc_property,worldwide,desktop,
keiphone k10,2.0,3.0,0.6666666666666666,1.0,2019-01-02,gsc_property,worldwide,desktop,
keiphone k10s,2.0,3.0,0.6666666666666666,1.3333333333333333,2019-01-02,gsc_property,worldwide,desktop,
telefono chileno,2.0,2.0,1.0,1.0,2019-01-02,gsc_property,worldwide,desktop,
celular chileno,1.0,3.0,0.3333333333333333,1.0,2019-01-02,gsc_property,worldwide,desktop,
certificación de celular en chile,1.0,1.0,1.0,6.0,2019-01-02,gsc_property,worldwide,desktop,
grippy,1.0,2.0,0.5,5.5,2019-01-02,gsc_property,worldwide,desktop,
k10s helio,1.0,2.0,0.5,1.0,2019-01-02,gsc_property,worldwide,desktop,
keiphone k10 caracteristicas y especificaciones,1.0,1.0,1.0,2.0,2019-01-02,gsc_property,worldwide,desktop,
keiphone k10 helio,1.0,2.0,0.5,1.0,2019-01-02,gsc_property,worldwide,desktop,
keiphone k10s helio,1.0,3.0,0.3333333333333333,1.0,2019-01-02,gsc_property,worldwide,desktop,
keiphone smartwatch,1.0,6.0,0.16666666666666666,1.0,2019-01-02,gsc_property,worldwide,desktop,
que pasa si no homologo mi celular chile,1.0,1.0,1.0,3.0,2019-01-02,gsc_property,worldwide,desktop,
smartphone chile,1.0,4.0,0.25,7.75,2019-01-02,gsc_property,worldwide,desktop,
smartphone chileno,1.0,1.0,1.0,1.0,2019-01-02,gsc_property,worldwide,desktop,
smartwatch chile,1.0,4.0,0.25,17.25,2019-01-02,gsc_property,worldwide,desktop,
smartwatch kei f3,1.0,1.0,1.0,1.0,2019-01-02,gsc_property,worldwide,desktop,
www.kei,1.0,1.0,1.0,2.0,2019-01-02,gsc_property,worldwide,desktop,
ajustando el kei,0.0,1.0,0.0,3.0,2019-01-02,gsc_property,worldwide,desktop,
aplicacion para smartband,0.0,1.0,0.0,20.0,2019-01-02,gsc_property,worldwide,desktop,
av vitacura 2902,0.0,1.0,0.0,7.0,2019-01-02,gsc_property,worldwide,desktop,
avenida vitacura 2902,0.0,1.0,0.0,8.0,2019-01-02,gsc_property,worldwide,desktop,
bluedio chile,0.0,1.0,0.0,13.0,2019-01-02,gsc_property,worldwide,desktop,
cable magnetico 3 en 1,0.0,1.0,0.0,7.0,2019-01-02,gsc_property,worldwide,desktop,
cambio de pantalla,0.0,1.0,0.0,22.0,2019-01-02,gsc_property,worldwide,desktop,
celular k10,0.0,1.0,0.0,41.0,2019-01-02,gsc_property,worldwide,desktop,
celulares liberados chile,0.0,1.0,0.0,37.0,2019-01-02,gsc_property,worldwide,desktop,
celulares liberados chile ley,0.0,2.0,0.0,5.5,2019-01-02,gsc_property,worldwide,desktop,
celulares smartphone,0.0,2.0,0.0,24.5,2019-01-02,gsc_property,worldwide,desktop,
como homologar mi celular,0.0,1.0,0.0,71.0,2019-01-02,gsc_property,worldwide,desktop,
