Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves,65.0,95.0,0.6842105263157895,1.0315789473684212,2019-05-02,gsc_property,worldwide,mobile,
tuves hd,54.0,72.0,0.75,1.0,2019-05-02,gsc_property,worldwide,mobile,
tuves.cl,31.0,45.0,0.6888888888888889,1.0,2019-05-02,gsc_property,worldwide,mobile,
tu ves,27.0,56.0,0.48214285714285715,1.1607142857142858,2019-05-02,gsc_property,worldwide,mobile,
tu ves hd,24.0,36.0,0.6666666666666666,1.0,2019-05-02,gsc_property,worldwide,mobile,
tuves hd chile,18.0,28.0,0.6428571428571429,1.0,2019-05-02,gsc_property,worldwide,mobile,
tu ves cable,12.0,13.0,0.9230769230769231,1.0,2019-05-02,gsc_property,worldwide,mobile,
tuves pago,12.0,29.0,0.41379310344827586,2.0,2019-05-02,gsc_property,worldwide,mobile,
tuves cable,10.0,16.0,0.625,1.0,2019-05-02,gsc_property,worldwide,mobile,
tuveshd,6.0,13.0,0.46153846153846156,1.0,2019-05-02,gsc_property,worldwide,mobile,
pagar tuves hd,5.0,12.0,0.4166666666666667,2.0,2019-05-02,gsc_property,worldwide,mobile,
tu vez,4.0,6.0,0.6666666666666666,1.5,2019-05-02,gsc_property,worldwide,mobile,
tuves chile,4.0,6.0,0.6666666666666666,1.0,2019-05-02,gsc_property,worldwide,mobile,
tv cable chile,4.0,13.0,0.3076923076923077,4.076923076923077,2019-05-02,gsc_property,worldwide,mobile,
cable tuves,3.0,10.0,0.3,1.0,2019-05-02,gsc_property,worldwide,mobile,
call center tuves hd,3.0,3.0,1.0,1.0,2019-05-02,gsc_property,worldwide,mobile,
mi tuves,3.0,3.0,1.0,2.0,2019-05-02,gsc_property,worldwide,mobile,
tubes hd,3.0,5.0,0.6,1.0,2019-05-02,gsc_property,worldwide,mobile,
tuves en linea,3.0,7.0,0.42857142857142855,2.0,2019-05-02,gsc_property,worldwide,mobile,
tuves hd gratis,3.0,5.0,0.6,1.0,2019-05-02,gsc_property,worldwide,mobile,
tuves hd iquique,3.0,5.0,0.6,1.0,2019-05-02,gsc_property,worldwide,mobile,
tuves s.a,3.0,4.0,0.75,1.0,2019-05-02,gsc_property,worldwide,mobile,
tuveshd.cl,3.0,4.0,0.75,1.0,2019-05-02,gsc_property,worldwide,mobile,
tv cable,3.0,73.0,0.0410958904109589,3.493150684931507,2019-05-02,gsc_property,worldwide,mobile,
tv hd,3.0,23.0,0.13043478260869565,5.043478260869565,2019-05-02,gsc_property,worldwide,mobile,
www tuves cl,3.0,3.0,1.0,1.0,2019-05-02,gsc_property,worldwide,mobile,
canales online,2.0,76.0,0.02631578947368421,8.105263157894736,2019-05-02,gsc_property,worldwide,mobile,
empresas de tv cable en chile,2.0,3.0,0.6666666666666666,4.666666666666666,2019-05-02,gsc_property,worldwide,mobile,
mi.tuves,2.0,3.0,0.6666666666666666,1.6666666666666665,2019-05-02,gsc_property,worldwide,mobile,
television cable,2.0,2.0,1.0,2.0,2019-05-02,gsc_property,worldwide,mobile,
television satelital,2.0,15.0,0.13333333333333333,5.066666666666666,2019-05-02,gsc_property,worldwide,mobile,
tu veshd,2.0,4.0,0.5,1.0,2019-05-02,gsc_property,worldwide,mobile,
tuves hd pago,2.0,8.0,0.25,2.0,2019-05-02,gsc_property,worldwide,mobile,
tuves. cl,2.0,2.0,1.0,1.0,2019-05-02,gsc_property,worldwide,mobile,
tuvez hd,2.0,5.0,0.4,1.0,2019-05-02,gsc_property,worldwide,mobile,
tv cable mas barato,2.0,6.0,0.3333333333333333,1.0,2019-05-02,gsc_property,worldwide,mobile,
tv cable planes,2.0,3.0,0.6666666666666666,3.6666666666666665,2019-05-02,gsc_property,worldwide,mobile,
tv cable tuves,2.0,2.0,1.0,1.0,2019-05-02,gsc_property,worldwide,mobile,
tv satelital chile,2.0,11.0,0.18181818181818182,1.0909090909090908,2019-05-02,gsc_property,worldwide,mobile,
www.tuves,2.0,3.0,0.6666666666666666,1.0,2019-05-02,gsc_property,worldwide,mobile,
cable barato,1.0,1.0,1.0,2.0,2019-05-02,gsc_property,worldwide,mobile,
cable hogar tv,1.0,1.0,1.0,8.0,2019-05-02,gsc_property,worldwide,mobile,
cable prepago,1.0,1.0,1.0,4.0,2019-05-02,gsc_property,worldwide,mobile,
cable tuves hd,1.0,2.0,0.5,1.0,2019-05-02,gsc_property,worldwide,mobile,
