Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves hd,35.0,53.0,0.660377358490566,1.0188679245283019,2019-05-14,gsc_property,worldwide,mobile,
tu ves,23.0,42.0,0.5476190476190477,1.0952380952380953,2019-05-14,gsc_property,worldwide,mobile,
tuves hd planes,23.0,30.0,0.7666666666666667,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves chile,22.0,28.0,0.7857142857142857,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves,20.0,37.0,0.5405405405405406,1.054054054054054,2019-05-14,gsc_property,worldwide,mobile,
tuves hd chile,18.0,19.0,0.9473684210526315,1.0,2019-05-14,gsc_property,worldwide,mobile,
tu ves hd,11.0,14.0,0.7857142857142857,1.0,2019-05-14,gsc_property,worldwide,mobile,
tu ves cable,8.0,9.0,0.8888888888888888,1.0,2019-05-14,gsc_property,worldwide,mobile,
tv cable,8.0,62.0,0.12903225806451613,3.838709677419355,2019-05-14,gsc_property,worldwide,mobile,
tuves hd pagos,7.0,21.0,0.3333333333333333,2.0,2019-05-14,gsc_property,worldwide,mobile,
tu vez,6.0,7.0,0.8571428571428571,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves.cl,6.0,9.0,0.6666666666666666,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuveshd,5.0,10.0,0.5,1.0,2019-05-14,gsc_property,worldwide,mobile,
cable tuves,4.0,5.0,0.8,1.0,2019-05-14,gsc_property,worldwide,mobile,
tu vez hd,4.0,10.0,0.4,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves en linea,4.0,7.0,0.5714285714285714,2.0,2019-05-14,gsc_property,worldwide,mobile,
tv hd,4.0,40.0,0.1,5.675,2019-05-14,gsc_property,worldwide,mobile,
call center tuves hd,3.0,4.0,0.75,1.0,2019-05-14,gsc_property,worldwide,mobile,
tu tv,3.0,6.0,0.5,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves hd gratis,3.0,5.0,0.6,1.0,2019-05-14,gsc_property,worldwide,mobile,
tves,3.0,8.0,0.375,3.0,2019-05-14,gsc_property,worldwide,mobile,
cable del puerto,2.0,7.0,0.2857142857142857,5.142857142857143,2019-05-14,gsc_property,worldwide,mobile,
cable tuves hd,2.0,2.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
canales de tuves,2.0,2.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
hd tuves,2.0,3.0,0.6666666666666666,1.0,2019-05-14,gsc_property,worldwide,mobile,
mi.tuves,2.0,3.0,0.6666666666666666,1.6666666666666665,2019-05-14,gsc_property,worldwide,mobile,
television satelital,2.0,14.0,0.14285714285714285,2.357142857142857,2019-05-14,gsc_property,worldwide,mobile,
tuve tv,2.0,2.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves alto hospicio,2.0,2.0,1.0,2.0,2019-05-14,gsc_property,worldwide,mobile,
tuves cable,2.0,3.0,0.6666666666666666,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves cl,2.0,4.0,0.5,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves hd numero telefonico,2.0,11.0,0.18181818181818182,1.8181818181818183,2019-05-14,gsc_property,worldwide,mobile,
tuves pagar,2.0,8.0,0.25,1.875,2019-05-14,gsc_property,worldwide,mobile,
tuves pago,2.0,3.0,0.6666666666666666,2.0,2019-05-14,gsc_property,worldwide,mobile,
tuves programacion,2.0,2.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves. cl,2.0,3.0,0.6666666666666666,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuvez hd,2.0,3.0,0.6666666666666666,1.0,2019-05-14,gsc_property,worldwide,mobile,
tv satelital,2.0,22.0,0.09090909090909091,3.9545454545454546,2019-05-14,gsc_property,worldwide,mobile,
tvcable,2.0,2.0,1.0,5.0,2019-05-14,gsc_property,worldwide,mobile,
tves chile,2.0,3.0,0.6666666666666666,1.0,2019-05-14,gsc_property,worldwide,mobile,
cable tv,1.0,10.0,0.1,5.5,2019-05-14,gsc_property,worldwide,mobile,
canales online,1.0,56.0,0.017857142857142856,8.214285714285715,2019-05-14,gsc_property,worldwide,mobile,
canales play,1.0,2.0,0.5,1.5,2019-05-14,gsc_property,worldwide,mobile,
canales tuves,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
claro tv prepago,1.0,7.0,0.14285714285714285,8.857142857142858,2019-05-14,gsc_property,worldwide,mobile,
compañias de cable,1.0,3.0,0.3333333333333333,9.0,2019-05-14,gsc_property,worldwide,mobile,
compañias de cable e internet en chile,1.0,2.0,0.5,10.5,2019-05-14,gsc_property,worldwide,mobile,
mi punto tuves.cl,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
mipunto tubes cl,1.0,3.0,0.3333333333333333,1.0,2019-05-14,gsc_property,worldwide,mobile,
numero de telefono de tuves,1.0,10.0,0.1,1.8,2019-05-14,gsc_property,worldwide,mobile,
numero telefonico de tuves hd,1.0,1.0,1.0,2.0,2019-05-14,gsc_property,worldwide,mobile,
numero tuves,1.0,3.0,0.3333333333333333,1.6666666666666665,2019-05-14,gsc_property,worldwide,mobile,
número de tuves,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
pagar tuves con cuenta rut,1.0,2.0,0.5,2.0,2019-05-14,gsc_property,worldwide,mobile,
pagar tv cable tuves,1.0,2.0,0.5,1.0,2019-05-14,gsc_property,worldwide,mobile,
planes television,1.0,4.0,0.25,5.5,2019-05-14,gsc_property,worldwide,mobile,
planes tuves,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
planes tv,1.0,3.0,0.3333333333333333,8.333333333333332,2019-05-14,gsc_property,worldwide,mobile,
servicio al cliente tuves,1.0,2.0,0.5,1.0,2019-05-14,gsc_property,worldwide,mobile,
soporte tecnico tuves hd,1.0,2.0,0.5,1.0,2019-05-14,gsc_property,worldwide,mobile,
television cable,1.0,4.0,0.25,1.75,2019-05-14,gsc_property,worldwide,mobile,
television satelital chile,1.0,6.0,0.16666666666666666,1.1666666666666667,2019-05-14,gsc_property,worldwide,mobile,
television x cable,1.0,1.0,1.0,6.0,2019-05-14,gsc_property,worldwide,mobile,
tev cable,1.0,1.0,1.0,8.0,2019-05-14,gsc_property,worldwide,mobile,
tu tv canales,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
tu ves.cl,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
tube tv,1.0,2.0,0.5,3.5,2019-05-14,gsc_property,worldwide,mobile,
tubes hd,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
tubes tv,1.0,4.0,0.25,1.75,2019-05-14,gsc_property,worldwide,mobile,
tutv,1.0,1.0,1.0,9.0,2019-05-14,gsc_property,worldwide,mobile,
tuves canales,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves hd iquique,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves hd pago,1.0,2.0,0.5,2.0,2019-05-14,gsc_property,worldwide,mobile,
tuves hd pago en línea,1.0,3.0,0.3333333333333333,2.0,2019-05-14,gsc_property,worldwide,mobile,
tuves hd servicio al cliente,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves ovalle,1.0,2.0,0.5,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves tv,1.0,6.0,0.16666666666666666,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuves tv hd,1.0,3.0,0.3333333333333333,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuveshd.cl,1.0,3.0,0.3333333333333333,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuvetv,1.0,1.0,1.0,3.0,2019-05-14,gsc_property,worldwide,mobile,
tuvez,1.0,3.0,0.3333333333333333,1.0,2019-05-14,gsc_property,worldwide,mobile,
tuvezhd,1.0,4.0,0.25,1.0,2019-05-14,gsc_property,worldwide,mobile,
tv cable barato,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
tv cable con internet,1.0,1.0,1.0,20.0,2019-05-14,gsc_property,worldwide,mobile,
tv cable mas barato,1.0,2.0,0.5,1.0,2019-05-14,gsc_property,worldwide,mobile,
tv cable tuves,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
tv prepago,1.0,4.0,0.25,4.75,2019-05-14,gsc_property,worldwide,mobile,
tv satelital prepago,1.0,2.0,0.5,2.0,2019-05-14,gsc_property,worldwide,mobile,
tv tuves,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,mobile,
tvhd,1.0,3.0,0.3333333333333333,3.3333333333333335,2019-05-14,gsc_property,worldwide,mobile,
www.tuves.cl,1.0,3.0,0.3333333333333333,1.0,2019-05-14,gsc_property,worldwide,mobile,
+tv,0.0,4.0,0.0,10.0,2019-05-14,gsc_property,worldwide,mobile,
almagro padre hurtado,0.0,1.0,0.0,69.0,2019-05-14,gsc_property,worldwide,mobile,
antena de tv cable,0.0,1.0,0.0,22.0,2019-05-14,gsc_property,worldwide,mobile,
antenas satelitales,0.0,1.0,0.0,7.0,2019-05-14,gsc_property,worldwide,mobile,
bunnicula el conejo vampiro xxx,0.0,1.0,0.0,10.0,2019-05-14,gsc_property,worldwide,mobile,
cable,0.0,12.0,0.0,10.166666666666666,2019-05-14,gsc_property,worldwide,mobile,
cable barato sin contrato,0.0,1.0,0.0,60.0,2019-05-14,gsc_property,worldwide,mobile,
cable canales,0.0,1.0,0.0,5.0,2019-05-14,gsc_property,worldwide,mobile,
cable chile,0.0,2.0,0.0,12.5,2019-05-14,gsc_property,worldwide,mobile,
tuves,24.0,40.0,0.6,1.425,2019-05-14,gsc_property,worldwide,desktop,
tu ves,12.0,23.0,0.5217391304347826,1.4782608695652173,2019-05-14,gsc_property,worldwide,desktop,
tu ves hd,7.0,8.0,0.875,1.0,2019-05-14,gsc_property,worldwide,desktop,
tuves chile,7.0,14.0,0.5,1.0,2019-05-14,gsc_property,worldwide,desktop,
tuves hd,7.0,11.0,0.6363636363636364,1.0,2019-05-14,gsc_property,worldwide,desktop,
canales online,5.0,64.0,0.078125,8.609375,2019-05-14,gsc_property,worldwide,desktop,
tuveshd,3.0,10.0,0.3,1.0,2019-05-14,gsc_property,worldwide,desktop,
tuves hd chile,2.0,3.0,0.6666666666666666,1.0,2019-05-14,gsc_property,worldwide,desktop,
tuves hd chile planes,2.0,2.0,1.0,1.0,2019-05-14,gsc_property,worldwide,desktop,
tuves hd planes,2.0,2.0,1.0,1.0,2019-05-14,gsc_property,worldwide,desktop,
tuves programacion,2.0,2.0,1.0,1.0,2019-05-14,gsc_property,worldwide,desktop,
tuves.cl,2.0,3.0,0.6666666666666666,1.0,2019-05-14,gsc_property,worldwide,desktop,
cable prepago,1.0,1.0,1.0,2.0,2019-05-14,gsc_property,worldwide,desktop,
cable satelital,1.0,2.0,0.5,1.0,2019-05-14,gsc_property,worldwide,desktop,
cable tuves,1.0,10.0,0.1,1.0,2019-05-14,gsc_property,worldwide,desktop,
contratar television por satelite,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,desktop,
decodificador satelital,1.0,2.0,0.5,9.5,2019-05-14,gsc_property,worldwide,desktop,
empresas de cable,1.0,2.0,0.5,4.5,2019-05-14,gsc_property,worldwide,desktop,
kit tv satelital,1.0,2.0,0.5,3.5,2019-05-14,gsc_property,worldwide,desktop,
pagar cable tuves,1.0,3.0,0.3333333333333333,2.0,2019-05-14,gsc_property,worldwide,desktop,
programacion canales cable,1.0,3.0,0.3333333333333333,7.333333333333333,2019-05-14,gsc_property,worldwide,desktop,
servicios de tv cable en chile,1.0,1.0,1.0,4.0,2019-05-14,gsc_property,worldwide,desktop,
television por cable,1.0,10.0,0.1,7.2,2019-05-14,gsc_property,worldwide,desktop,
tu tv hd,1.0,5.0,0.2,5.2,2019-05-14,gsc_property,worldwide,desktop,
tu ves cable,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,desktop,
tu veshd,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,desktop,
tuve hd,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,desktop,
tuves hd pago,1.0,1.0,1.0,2.0,2019-05-14,gsc_property,worldwide,desktop,
tuves tv,1.0,2.0,0.5,1.0,2019-05-14,gsc_property,worldwide,desktop,
tv planes,1.0,1.0,1.0,5.0,2019-05-14,gsc_property,worldwide,desktop,
tv satelital,1.0,20.0,0.05,7.85,2019-05-14,gsc_property,worldwide,desktop,
tveshd,1.0,1.0,1.0,1.0,2019-05-14,gsc_property,worldwide,desktop,
