Keyword,Clicks,Impressions,CTR,Position,Date,Page,Country,Device
keiphone,51.0,61.0,0.8360655737704918,1.0,2019-01-04,gsc_property,worldwide,mobile,
keyphone,5.0,8.0,0.625,1.0,2019-01-04,gsc_property,worldwide,mobile,
kei f7,2.0,3.0,0.6666666666666666,1.0,2019-01-04,gsc_property,worldwide,mobile,
que pasa si no homologo mi celular chile,2.0,4.0,0.5,2.25,2019-01-04,gsc_property,worldwide,mobile,
celular chileno,1.0,1.0,1.0,1.0,2019-01-04,gsc_property,worldwide,mobile,
celulares chilenos,1.0,1.0,1.0,1.0,2019-01-04,gsc_property,worldwide,mobile,
k10 helio,1.0,2.0,0.5,1.0,2019-01-04,gsc_property,worldwide,mobile,
k10s helio,1.0,2.0,0.5,1.0,2019-01-04,gsc_property,worldwide,mobile,
keikids,1.0,1.0,1.0,1.0,2019-01-04,gsc_property,worldwide,mobile,
keiphone k10,1.0,1.0,1.0,1.0,2019-01-04,gsc_property,worldwide,mobile,
keiphone k10s,1.0,2.0,0.5,1.0,2019-01-04,gsc_property,worldwide,mobile,
keiphone k10s helio,1.0,2.0,0.5,1.0,2019-01-04,gsc_property,worldwide,mobile,
keiphone k10s helio caracteristicas,1.0,1.0,1.0,2.0,2019-01-04,gsc_property,worldwide,mobile,
keiphone reloj,1.0,1.0,1.0,1.0,2019-01-04,gsc_property,worldwide,mobile,
keiphone smartwatch,1.0,2.0,0.5,1.0,2019-01-04,gsc_property,worldwide,mobile,
keyfone,1.0,1.0,1.0,1.0,2019-01-04,gsc_property,worldwide,mobile,
smartphone chileno,1.0,2.0,0.5,1.0,2019-01-04,gsc_property,worldwide,mobile,
smartwatch keiphone,1.0,4.0,0.25,1.0,2019-01-04,gsc_property,worldwide,mobile,
av vitacura 2902,0.0,2.0,0.0,1.0,2019-01-04,gsc_property,worldwide,mobile,
b8,0.0,1.0,0.0,5.0,2019-01-04,gsc_property,worldwide,mobile,
celular hecho en chile,0.0,1.0,0.0,1.0,2019-01-04,gsc_property,worldwide,mobile,
celulares liberados chile,0.0,1.0,0.0,53.0,2019-01-04,gsc_property,worldwide,mobile,
celulares liberados chile ley,0.0,1.0,0.0,6.0,2019-01-04,gsc_property,worldwide,mobile,
certificación de celular en chile,0.0,8.0,0.0,6.625,2019-01-04,gsc_property,worldwide,mobile,
como sacar pantallazo,0.0,14.0,0.0,8.571428571428571,2019-01-04,gsc_property,worldwide,mobile,
como sacar pantallazos,0.0,2.0,0.0,12.0,2019-01-04,gsc_property,worldwide,mobile,
como sacar un screenshot,0.0,2.0,0.0,12.0,2019-01-04,gsc_property,worldwide,mobile,
como vender,0.0,1.0,0.0,56.0,2019-01-04,gsc_property,worldwide,mobile,
f3,0.0,1.0,0.0,8.0,2019-01-04,gsc_property,worldwide,mobile,
f5,0.0,1.0,0.0,89.0,2019-01-04,gsc_property,worldwide,mobile,
grippy,0.0,1.0,0.0,8.0,2019-01-04,gsc_property,worldwide,mobile,
homologación celulares,0.0,2.0,0.0,10.0,2019-01-04,gsc_property,worldwide,mobile,
huawei k10,0.0,1.0,0.0,2.0,2019-01-04,gsc_property,worldwide,mobile,
iphone k10,0.0,1.0,0.0,2.0,2019-01-04,gsc_property,worldwide,mobile,
k phone,0.0,1.0,0.0,2.0,2019-01-04,gsc_property,worldwide,mobile,
kei f5,0.0,1.0,0.0,1.0,2019-01-04,gsc_property,worldwide,mobile,
keiphone f5,0.0,1.0,0.0,1.0,2019-01-04,gsc_property,worldwide,mobile,
keiphone k10 caracteristicas y especificaciones,0.0,1.0,0.0,2.0,2019-01-04,gsc_property,worldwide,mobile,
keiphone k10 helio comentarios,0.0,1.0,0.0,3.0,2019-01-04,gsc_property,worldwide,mobile,
keiphone k10 opiniones,0.0,2.0,0.0,2.0,2019-01-04,gsc_property,worldwide,mobile,
keiphone reclamos,0.0,2.0,0.0,3.5,2019-01-04,gsc_property,worldwide,mobile,
kphone,0.0,1.0,0.0,8.0,2019-01-04,gsc_property,worldwide,mobile,
marca chilena de celulares,0.0,1.0,0.0,1.0,2019-01-04,gsc_property,worldwide,mobile,
motorola k10,0.0,1.0,0.0,7.0,2019-01-04,gsc_property,worldwide,mobile,
que pasa si mi celular no esta homologado,0.0,1.0,0.0,9.0,2019-01-04,gsc_property,worldwide,mobile,
que pasa si no homologo mi celular,0.0,2.0,0.0,10.5,2019-01-04,gsc_property,worldwide,mobile,
