Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves hd,49.0,84.0,0.5833333333333334,1.0238095238095237,2019-05-25,gsc_property,worldwide,mobile,
tu ves,38.0,84.0,0.4523809523809524,1.0238095238095237,2019-05-25,gsc_property,worldwide,mobile,
tuves,36.0,74.0,0.4864864864864865,1.0405405405405406,2019-05-25,gsc_property,worldwide,mobile,
tu ves hd,22.0,44.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves online,11.0,13.0,0.8461538461538461,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves pagos,11.0,40.0,0.275,2.0,2019-05-25,gsc_property,worldwide,mobile,
tuveshd,11.0,28.0,0.39285714285714285,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves.cl,9.0,14.0,0.6428571428571429,1.0,2019-05-25,gsc_property,worldwide,mobile,
tv cable,7.0,64.0,0.109375,3.609375,2019-05-25,gsc_property,worldwide,mobile,
tuves hd gratis,6.0,15.0,0.4,1.0666666666666667,2019-05-25,gsc_property,worldwide,mobile,
tv hd,6.0,22.0,0.2727272727272727,3.6818181818181817,2019-05-25,gsc_property,worldwide,mobile,
tuves hd cdf hd,5.0,10.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuveshd.cl,5.0,7.0,0.7142857142857143,1.0,2019-05-25,gsc_property,worldwide,mobile,
tv satelital,5.0,33.0,0.15151515151515152,4.212121212121212,2019-05-25,gsc_property,worldwide,mobile,
cable tuves,4.0,12.0,0.3333333333333333,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves chile,4.0,9.0,0.4444444444444444,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves cl,4.0,6.0,0.6666666666666666,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves hd chile,4.0,8.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves hd chile planes,4.0,7.0,0.5714285714285714,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves programacion,4.0,8.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
tv satelital en chile,4.0,6.0,0.6666666666666666,1.0,2019-05-25,gsc_property,worldwide,mobile,
tvhd,4.0,17.0,0.23529411764705882,1.5294117647058822,2019-05-25,gsc_property,worldwide,mobile,
canales online,3.0,30.0,0.1,9.533333333333333,2019-05-25,gsc_property,worldwide,mobile,
numero de telefono de tuves,3.0,15.0,0.2,1.8666666666666667,2019-05-25,gsc_property,worldwide,mobile,
television satelital,3.0,12.0,0.25,1.75,2019-05-25,gsc_property,worldwide,mobile,
tuvehd,3.0,5.0,0.6,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves fono,3.0,13.0,0.23076923076923078,1.6923076923076923,2019-05-25,gsc_property,worldwide,mobile,
tuves hd contacto,3.0,6.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves tv cable,3.0,5.0,0.6,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuvez,3.0,7.0,0.42857142857142855,2.571428571428571,2019-05-25,gsc_property,worldwide,mobile,
tv cable tuves,3.0,4.0,0.75,1.0,2019-05-25,gsc_property,worldwide,mobile,
cable tuves teléfono,2.0,2.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
cable tv chile,2.0,4.0,0.5,2.0,2019-05-25,gsc_property,worldwide,mobile,
call center tuves,2.0,4.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
call center tuves hd,2.0,4.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
configuracion decodificador tuves,2.0,5.0,0.4,1.0,2019-05-25,gsc_property,worldwide,mobile,
hd tuves,2.0,3.0,0.6666666666666666,1.0,2019-05-25,gsc_property,worldwide,mobile,
numero de tuves hd chile,2.0,2.0,1.0,2.0,2019-05-25,gsc_property,worldwide,mobile,
numero telefonico de tuves hd,2.0,5.0,0.4,2.0,2019-05-25,gsc_property,worldwide,mobile,
pagar tu ves hd,2.0,4.0,0.5,1.75,2019-05-25,gsc_property,worldwide,mobile,
pagar tuves,2.0,16.0,0.125,1.9375,2019-05-25,gsc_property,worldwide,mobile,
soporte tecnico tuves hd,2.0,2.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
television satelital prepago,2.0,3.0,0.6666666666666666,2.0,2019-05-25,gsc_property,worldwide,mobile,
tu ves cable,2.0,3.0,0.6666666666666666,1.0,2019-05-25,gsc_property,worldwide,mobile,
tu ves.cl,2.0,2.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves numero,2.0,3.0,0.6666666666666666,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves pagar,2.0,6.0,0.3333333333333333,2.0,2019-05-25,gsc_property,worldwide,mobile,
tuves tv,2.0,2.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves tv reclamos,2.0,2.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
tv por cable,2.0,5.0,0.4,1.8,2019-05-25,gsc_property,worldwide,mobile,
www tuves cl,2.0,3.0,0.6666666666666666,1.0,2019-05-25,gsc_property,worldwide,mobile,
cable barato,1.0,1.0,1.0,3.0,2019-05-25,gsc_property,worldwide,mobile,
cable operador,1.0,1.0,1.0,2.0,2019-05-25,gsc_property,worldwide,mobile,
cable tv,1.0,22.0,0.045454545454545456,4.954545454545455,2019-05-25,gsc_property,worldwide,mobile,
canales tuves,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
canales tuves hd,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
como configurar control tuves hd,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
compañias de cable,1.0,3.0,0.3333333333333333,6.333333333333333,2019-05-25,gsc_property,worldwide,mobile,
control remoto tuves hd,1.0,2.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
decodificador kaon media,1.0,1.0,1.0,9.0,2019-05-25,gsc_property,worldwide,mobile,
donde pagar tuves,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
empresas de cables tv,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
firmware kaon vmm 1003,1.0,1.0,1.0,30.0,2019-05-25,gsc_property,worldwide,mobile,
la prepago online,1.0,1.0,1.0,11.0,2019-05-25,gsc_property,worldwide,mobile,
mi punto tuves.cl,1.0,2.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
mi tuves,1.0,2.0,0.5,1.5,2019-05-25,gsc_property,worldwide,mobile,
mi.tuves,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
mipunto tubes cl,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
numero de tuves,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
numero tuves hd,1.0,1.0,1.0,2.0,2019-05-25,gsc_property,worldwide,mobile,
número de tuves hd,1.0,4.0,0.25,2.0,2019-05-25,gsc_property,worldwide,mobile,
ofertas tv cable,1.0,3.0,0.3333333333333333,5.0,2019-05-25,gsc_property,worldwide,mobile,
pagar cable,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
planes de tv,1.0,1.0,1.0,7.0,2019-05-25,gsc_property,worldwide,mobile,
planes television,1.0,2.0,0.5,7.5,2019-05-25,gsc_property,worldwide,mobile,
prepago tv,1.0,2.0,0.5,3.5,2019-05-25,gsc_property,worldwide,mobile,
problemas con tuves hd,1.0,2.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
programacion tv chile,1.0,1.0,1.0,24.0,2019-05-25,gsc_property,worldwide,mobile,
programación cable,1.0,11.0,0.09090909090909091,6.909090909090909,2019-05-25,gsc_property,worldwide,mobile,
programación canales,1.0,4.0,0.25,7.75,2019-05-25,gsc_property,worldwide,mobile,
servicio al cliente tuves hd,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
television hd,1.0,8.0,0.125,8.125,2019-05-25,gsc_property,worldwide,mobile,
tu es hd,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
tu mundo tv cable,1.0,10.0,0.1,8.0,2019-05-25,gsc_property,worldwide,mobile,
tu veshd,1.0,2.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
tu vez,1.0,7.0,0.14285714285714285,2.2857142857142856,2019-05-25,gsc_property,worldwide,mobile,
tube tv,1.0,3.0,0.3333333333333333,4.0,2019-05-25,gsc_property,worldwide,mobile,
tubes hd,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuve hd,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuve tv,1.0,2.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves cable,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves canales,1.0,2.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves en linea,1.0,2.0,0.5,1.5,2019-05-25,gsc_property,worldwide,mobile,
tuves hd call center,1.0,2.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves hd iquique,1.0,1.0,1.0,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves hd llamar,1.0,4.0,0.25,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves hd numero telefonico,1.0,7.0,0.14285714285714285,1.7142857142857144,2019-05-25,gsc_property,worldwide,mobile,
tuves hd planes,1.0,2.0,0.5,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves hd servicio al cliente,1.0,3.0,0.3333333333333333,1.0,2019-05-25,gsc_property,worldwide,mobile,
tuves hd telefono,1.0,2.0,0.5,2.0,2019-05-25,gsc_property,worldwide,mobile,
tuves,18.0,25.0,0.72,1.0,2019-05-25,gsc_property,worldwide,desktop,
tu ves,7.0,26.0,0.2692307692307692,1.0,2019-05-25,gsc_property,worldwide,desktop,
