Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves,39.0,73.0,0.5342465753424658,1.1369863013698631,2019-05-20,gsc_property,worldwide,mobile,
tuves hd,39.0,59.0,0.6610169491525424,1.0,2019-05-20,gsc_property,worldwide,mobile,
tu ves hd,27.0,40.0,0.675,1.2,2019-05-20,gsc_property,worldwide,mobile,
tuves chile,20.0,29.0,0.6896551724137931,1.0,2019-05-20,gsc_property,worldwide,mobile,
tu ves,17.0,44.0,0.38636363636363635,1.2045454545454546,2019-05-20,gsc_property,worldwide,mobile,
tuves.cl,8.0,9.0,0.8888888888888888,1.0,2019-05-20,gsc_property,worldwide,mobile,
tu ves cable,6.0,7.0,0.8571428571428571,1.0,2019-05-20,gsc_property,worldwide,mobile,
tu vez hd,6.0,13.0,0.46153846153846156,1.0,2019-05-20,gsc_property,worldwide,mobile,
tuves pago,6.0,13.0,0.46153846153846156,2.0,2019-05-20,gsc_property,worldwide,mobile,
tv cable,6.0,69.0,0.08695652173913043,3.9130434782608696,2019-05-20,gsc_property,worldwide,mobile,
tves,6.0,13.0,0.46153846153846156,3.076923076923077,2019-05-20,gsc_property,worldwide,mobile,
call center tuves hd,4.0,6.0,0.6666666666666666,1.0,2019-05-20,gsc_property,worldwide,mobile,
tu tv,4.0,7.0,0.5714285714285714,9.857142857142858,2019-05-20,gsc_property,worldwide,mobile,
tuveshd,4.0,12.0,0.3333333333333333,1.0,2019-05-20,gsc_property,worldwide,mobile,
canales online,3.0,65.0,0.046153846153846156,7.630769230769231,2019-05-20,gsc_property,worldwide,mobile,
tu tv hd,3.0,32.0,0.09375,4.96875,2019-05-20,gsc_property,worldwide,mobile,
tuves en linea,3.0,6.0,0.5,2.0,2019-05-20,gsc_property,worldwide,mobile,
tuves hd cdf hd,3.0,6.0,0.5,1.0,2019-05-20,gsc_property,worldwide,mobile,
tuves hd contacto,3.0,3.0,1.0,1.6666666666666665,2019-05-20,gsc_property,worldwide,mobile,
tuves hd pagos,3.0,18.0,0.16666666666666666,2.0,2019-05-20,gsc_property,worldwide,mobile,
tuves tv,3.0,3.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
tuvezhd,3.0,3.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
tv cable barato,3.0,5.0,0.6,1.0,2019-05-20,gsc_property,worldwide,mobile,
cables tv,2.0,5.0,0.4,3.8,2019-05-20,gsc_property,worldwide,mobile,
chile tv hd,2.0,8.0,0.25,2.875,2019-05-20,gsc_property,worldwide,mobile,
hd tubes,2.0,2.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
mi.tuves,2.0,3.0,0.6666666666666666,1.6666666666666665,2019-05-20,gsc_property,worldwide,mobile,
numero de telefono de tuves,2.0,3.0,0.6666666666666666,2.0,2019-05-20,gsc_property,worldwide,mobile,
problemas con tuves hd,2.0,4.0,0.5,1.0,2019-05-20,gsc_property,worldwide,mobile,
programacion tv cable chile,2.0,6.0,0.3333333333333333,9.833333333333334,2019-05-20,gsc_property,worldwide,mobile,
tu ves tv,2.0,3.0,0.6666666666666666,1.0,2019-05-20,gsc_property,worldwide,mobile,
tuves cable,2.0,2.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
tuves hd cable,2.0,2.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
tuves hd canales,2.0,2.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
tuves hd chile,2.0,2.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
tuves hd numero telefonico,2.0,5.0,0.4,1.6,2019-05-20,gsc_property,worldwide,mobile,
tuves hd planes,2.0,3.0,0.6666666666666666,1.0,2019-05-20,gsc_property,worldwide,mobile,
tuves iquique,2.0,6.0,0.3333333333333333,2.0,2019-05-20,gsc_property,worldwide,mobile,
tv cable chile,2.0,12.0,0.16666666666666666,5.333333333333333,2019-05-20,gsc_property,worldwide,mobile,
tv cable tuves,2.0,3.0,0.6666666666666666,1.0,2019-05-20,gsc_property,worldwide,mobile,
tv hd chile,2.0,6.0,0.3333333333333333,1.5,2019-05-20,gsc_property,worldwide,mobile,
www tuves cl pago,2.0,3.0,0.6666666666666666,2.0,2019-05-20,gsc_property,worldwide,mobile,
cable,1.0,21.0,0.047619047619047616,9.904761904761905,2019-05-20,gsc_property,worldwide,mobile,
cable tu ves,1.0,1.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
cable tuves,1.0,2.0,0.5,1.0,2019-05-20,gsc_property,worldwide,mobile,
cables de television,1.0,2.0,0.5,3.0,2019-05-20,gsc_property,worldwide,mobile,
call center tuves,1.0,1.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
canales play tv,1.0,1.0,1.0,9.0,2019-05-20,gsc_property,worldwide,mobile,
clave deco tuves hd,1.0,3.0,0.3333333333333333,2.0,2019-05-20,gsc_property,worldwide,mobile,
compañias de tv,1.0,1.0,1.0,4.0,2019-05-20,gsc_property,worldwide,mobile,
compañías de cable,1.0,1.0,1.0,2.0,2019-05-20,gsc_property,worldwide,mobile,
configuracion decodificador tuves,1.0,3.0,0.3333333333333333,1.0,2019-05-20,gsc_property,worldwide,mobile,
coordenadas tuves hd,1.0,2.0,0.5,2.0,2019-05-20,gsc_property,worldwide,mobile,
fono tuves,1.0,1.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
instalo tv cable barato,1.0,3.0,0.3333333333333333,9.0,2019-05-20,gsc_property,worldwide,mobile,
kaonmedia hdrec vm9130,1.0,5.0,0.2,1.4,2019-05-20,gsc_property,worldwide,mobile,
operadores de tv por cable,1.0,2.0,0.5,3.5,2019-05-20,gsc_property,worldwide,mobile,
pagar cuenta tuves,1.0,1.0,1.0,2.0,2019-05-20,gsc_property,worldwide,mobile,
pagar tuves,1.0,18.0,0.05555555555555555,2.0,2019-05-20,gsc_property,worldwide,mobile,
pagar tv cable tuves,1.0,2.0,0.5,1.0,2019-05-20,gsc_property,worldwide,mobile,
planes de tv cable,1.0,5.0,0.2,5.8,2019-05-20,gsc_property,worldwide,mobile,
precios tv cable,1.0,1.0,1.0,4.0,2019-05-20,gsc_property,worldwide,mobile,
promociones tv cable,1.0,1.0,1.0,7.0,2019-05-20,gsc_property,worldwide,mobile,
servicio de cable tv,1.0,1.0,1.0,2.0,2019-05-20,gsc_property,worldwide,mobile,
soporte tecnico tuves hd,1.0,1.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
television online de pago,1.0,1.0,1.0,3.0,2019-05-20,gsc_property,worldwide,mobile,
televisión satelital,1.0,15.0,0.06666666666666667,4.0,2019-05-20,gsc_property,worldwide,mobile,
tu es hd,1.0,1.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
tu mundo tv cable,1.0,4.0,0.25,8.75,2019-05-20,gsc_property,worldwide,mobile,
tu ves.cl,1.0,1.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
tu veshd,1.0,1.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
tu vez,1.0,3.0,0.3333333333333333,3.6666666666666665,2019-05-20,gsc_property,worldwide,mobile,
tubes tv,1.0,4.0,0.25,2.0,2019-05-20,gsc_property,worldwide,mobile,
tuve hd,1.0,3.0,0.3333333333333333,1.0,2019-05-20,gsc_property,worldwide,mobile,
tuves canales,1.0,1.0,1.0,1.0,2019-05-20,gsc_property,worldwide,mobile,
