Keyword,Clicks,Impressions,CTR,Position,Date,Page,Country,Device
keiphone,47.0,55.0,0.8545454545454545,1.0,2019-01-03,gsc_property,worldwide,mobile,
keyphone,8.0,8.0,1.0,1.0,2019-01-03,gsc_property,worldwide,mobile,
k10 helio,4.0,5.0,0.8,1.0,2019-01-03,gsc_property,worldwide,mobile,
keiphone.com,4.0,4.0,1.0,1.0,2019-01-03,gsc_property,worldwide,mobile,
celulares chilenos,3.0,3.0,1.0,1.0,2019-01-03,gsc_property,worldwide,mobile,
keiphone chile,3.0,4.0,0.75,1.0,2019-01-03,gsc_property,worldwide,mobile,
keiphone k10,3.0,5.0,0.6,1.0,2019-01-03,gsc_property,worldwide,mobile,
kei f1,2.0,4.0,0.5,1.0,2019-01-03,gsc_property,worldwide,mobile,
keiphone k10s,2.0,3.0,0.6666666666666666,1.0,2019-01-03,gsc_property,worldwide,mobile,
keiphone reloj,2.0,4.0,0.5,1.0,2019-01-03,gsc_property,worldwide,mobile,
keiphone smartwatch,2.0,3.0,0.6666666666666666,1.0,2019-01-03,gsc_property,worldwide,mobile,
smartphone chileno,2.0,2.0,1.0,1.0,2019-01-03,gsc_property,worldwide,mobile,
k10s helio,1.0,3.0,0.3333333333333333,1.0,2019-01-03,gsc_property,worldwide,mobile,
keikids,1.0,1.0,1.0,1.0,2019-01-03,gsc_property,worldwide,mobile,
keiphone f5,1.0,2.0,0.5,1.0,2019-01-03,gsc_property,worldwide,mobile,
keiphone k10 helio,1.0,2.0,0.5,1.0,2019-01-03,gsc_property,worldwide,mobile,
keyfone,1.0,2.0,0.5,1.0,2019-01-03,gsc_property,worldwide,mobile,
kphone,1.0,2.0,0.5,3.5,2019-01-03,gsc_property,worldwide,mobile,
avenida vitacura 2902 las condes,0.0,1.0,0.0,8.0,2019-01-03,gsc_property,worldwide,mobile,
celular chileno,0.0,4.0,0.0,1.0,2019-01-03,gsc_property,worldwide,mobile,
celulares liberados chile ley,0.0,3.0,0.0,5.0,2019-01-03,gsc_property,worldwide,mobile,
certificación de celular en chile,0.0,2.0,0.0,7.5,2019-01-03,gsc_property,worldwide,mobile,
como saber si mi celular esta homologado,0.0,1.0,0.0,9.0,2019-01-03,gsc_property,worldwide,mobile,
como sacar pantallazo,0.0,34.0,0.0,7.970588235294118,2019-01-03,gsc_property,worldwide,mobile,
como vender,0.0,1.0,0.0,62.0,2019-01-03,gsc_property,worldwide,mobile,
compro smartphone,0.0,3.0,0.0,10.333333333333334,2019-01-03,gsc_property,worldwide,mobile,
ex 19,0.0,1.0,0.0,7.0,2019-01-03,gsc_property,worldwide,mobile,
f3,0.0,3.0,0.0,6.333333333333333,2019-01-03,gsc_property,worldwide,mobile,
f5,0.0,1.0,0.0,88.0,2019-01-03,gsc_property,worldwide,mobile,
homologación celulares,0.0,3.0,0.0,9.333333333333334,2019-01-03,gsc_property,worldwide,mobile,
huawei k10,0.0,1.0,0.0,2.0,2019-01-03,gsc_property,worldwide,mobile,
k10 helio opiniones,0.0,1.0,0.0,2.0,2019-01-03,gsc_property,worldwide,mobile,
