Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves,32.0,48.0,0.6666666666666666,1.0625,2019-05-09,gsc_property,worldwide,mobile,
tuves chile,27.0,35.0,0.7714285714285715,1.0285714285714285,2019-05-09,gsc_property,worldwide,mobile,
tuves hd,25.0,41.0,0.6097560975609756,1.024390243902439,2019-05-09,gsc_property,worldwide,mobile,
tu ves,20.0,39.0,0.5128205128205128,1.1794871794871795,2019-05-09,gsc_property,worldwide,mobile,
tuves hd chile,15.0,19.0,0.7894736842105263,1.0,2019-05-09,gsc_property,worldwide,mobile,
tuves hd planes,11.0,13.0,0.8461538461538461,1.0,2019-05-09,gsc_property,worldwide,mobile,
tuveshd,10.0,17.0,0.5882352941176471,1.0,2019-05-09,gsc_property,worldwide,mobile,
tu ves hd,8.0,12.0,0.6666666666666666,1.0,2019-05-09,gsc_property,worldwide,mobile,
tv cable,6.0,51.0,0.11764705882352941,3.6862745098039214,2019-05-09,gsc_property,worldwide,mobile,
tuves hd pagos,5.0,15.0,0.3333333333333333,2.0,2019-05-09,gsc_property,worldwide,mobile,
tuves.cl,5.0,6.0,0.8333333333333334,1.0,2019-05-09,gsc_property,worldwide,mobile,
tuves hd gratis,4.0,6.0,0.6666666666666666,1.0,2019-05-09,gsc_property,worldwide,mobile,
tuves hd pago,4.0,7.0,0.5714285714285714,2.0,2019-05-09,gsc_property,worldwide,mobile,
tuves prepago,4.0,5.0,0.8,1.0,2019-05-09,gsc_property,worldwide,mobile,
tuves tv,4.0,5.0,0.8,1.4,2019-05-09,gsc_property,worldwide,mobile,
cable tuves,3.0,8.0,0.375,1.0,2019-05-09,gsc_property,worldwide,mobile,
tuvez,3.0,8.0,0.375,1.375,2019-05-09,gsc_property,worldwide,mobile,
tuvez hd,3.0,3.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
cable satelital,2.0,3.0,0.6666666666666666,1.0,2019-05-09,gsc_property,worldwide,mobile,
mi punto tuves.cl,2.0,3.0,0.6666666666666666,1.0,2019-05-09,gsc_property,worldwide,mobile,
numero de telefono de tuves,2.0,13.0,0.15384615384615385,2.0,2019-05-09,gsc_property,worldwide,mobile,
numero de tuves,2.0,2.0,1.0,1.5,2019-05-09,gsc_property,worldwide,mobile,
pagar tuves,2.0,14.0,0.14285714285714285,2.0,2019-05-09,gsc_property,worldwide,mobile,
pagar tv cable tuves,2.0,4.0,0.5,1.0,2019-05-09,gsc_property,worldwide,mobile,
problemas con tuves hd,2.0,2.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
servicio al cliente tuves hd,2.0,2.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
television satelital,2.0,27.0,0.07407407407407407,2.4444444444444446,2019-05-09,gsc_property,worldwide,mobile,
tu ves cable,2.0,7.0,0.2857142857142857,1.0,2019-05-09,gsc_property,worldwide,mobile,
tu vez hd,2.0,8.0,0.25,1.0,2019-05-09,gsc_property,worldwide,mobile,
tuve tv,2.0,2.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
tuves numero,2.0,2.0,1.0,1.5,2019-05-09,gsc_property,worldwide,mobile,
tv cable tuves,2.0,3.0,0.6666666666666666,1.0,2019-05-09,gsc_property,worldwide,mobile,
tv satelital,2.0,20.0,0.1,3.8,2019-05-09,gsc_property,worldwide,mobile,
tv tuves,2.0,2.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
tves chile,2.0,3.0,0.6666666666666666,1.0,2019-05-09,gsc_property,worldwide,mobile,
cable tv,1.0,11.0,0.09090909090909091,2.909090909090909,2019-05-09,gsc_property,worldwide,mobile,
cables de television,1.0,1.0,1.0,2.0,2019-05-09,gsc_property,worldwide,mobile,
call center tuves hd,1.0,1.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
canales tuves,1.0,1.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
configuracion decodificador tuves,1.0,4.0,0.25,2.5,2019-05-09,gsc_property,worldwide,mobile,
contratar tv cable,1.0,9.0,0.1111111111111111,13.777777777777779,2019-05-09,gsc_property,worldwide,mobile,
donde pagar tuves,1.0,2.0,0.5,1.0,2019-05-09,gsc_property,worldwide,mobile,
donde pagar tuves hd,1.0,1.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
empresas de tv,1.0,1.0,1.0,2.0,2019-05-09,gsc_property,worldwide,mobile,
fono tuves,1.0,2.0,0.5,1.5,2019-05-09,gsc_property,worldwide,mobile,
kaonmedia hdrec vm9130,1.0,1.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
mi tuves,1.0,1.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
mi.tuves,1.0,1.0,1.0,2.0,2019-05-09,gsc_property,worldwide,mobile,
pagar cable tuves,1.0,1.0,1.0,2.0,2019-05-09,gsc_property,worldwide,mobile,
pagar tu ves,1.0,1.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
pagar tuves hd,1.0,7.0,0.14285714285714285,2.0,2019-05-09,gsc_property,worldwide,mobile,
planes tuves,1.0,1.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
planes tuves hd,1.0,1.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
planes tv,1.0,4.0,0.25,6.75,2019-05-09,gsc_property,worldwide,mobile,
planes tv cable,1.0,6.0,0.16666666666666666,5.333333333333333,2019-05-09,gsc_property,worldwide,mobile,
play hd,1.0,1.0,1.0,5.0,2019-05-09,gsc_property,worldwide,mobile,
programacion maxima tv,1.0,1.0,1.0,7.0,2019-05-09,gsc_property,worldwide,mobile,
soporte tecnico tuves hd,1.0,1.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
television cable,1.0,3.0,0.3333333333333333,1.6666666666666665,2019-05-09,gsc_property,worldwide,mobile,
television hogar,1.0,2.0,0.5,8.0,2019-05-09,gsc_property,worldwide,mobile,
television por cable mas economico,1.0,1.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
televisión satelital,1.0,17.0,0.058823529411764705,3.5294117647058822,2019-05-09,gsc_property,worldwide,mobile,
tu hd,1.0,1.0,1.0,2.0,2019-05-09,gsc_property,worldwide,mobile,
tu tv,1.0,11.0,0.09090909090909091,2.5454545454545454,2019-05-09,gsc_property,worldwide,mobile,
tu ve,1.0,2.0,0.5,1.0,2019-05-09,gsc_property,worldwide,mobile,
tu ves tv,1.0,1.0,1.0,1.0,2019-05-09,gsc_property,worldwide,mobile,
