Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves hd,57.0,81.0,0.7037037037037037,1.0123456790123457,2019-05-27,gsc_property,worldwide,mobile,
tuves,30.0,65.0,0.46153846153846156,1.1846153846153846,2019-05-27,gsc_property,worldwide,mobile,
tu ves,29.0,71.0,0.4084507042253521,1.436619718309859,2019-05-27,gsc_property,worldwide,mobile,
tu ves hd,15.0,27.0,0.5555555555555556,1.0,2019-05-27,gsc_property,worldwide,mobile,
tuves cl,13.0,17.0,0.7647058823529411,1.0,2019-05-27,gsc_property,worldwide,mobile,
tuveshd,10.0,22.0,0.45454545454545453,1.0,2019-05-27,gsc_property,worldwide,mobile,
tuves hd chile,7.0,10.0,0.7,1.0,2019-05-27,gsc_property,worldwide,mobile,
tuves pagos,6.0,21.0,0.2857142857142857,2.0,2019-05-27,gsc_property,worldwide,mobile,
mi punto tuves.cl,5.0,6.0,0.8333333333333334,1.0,2019-05-27,gsc_property,worldwide,mobile,
numero de telefono de tuves,5.0,11.0,0.45454545454545453,1.7272727272727273,2019-05-27,gsc_property,worldwide,mobile,
cable tuves,3.0,8.0,0.375,1.0,2019-05-27,gsc_property,worldwide,mobile,
mi tv hd,3.0,7.0,0.42857142857142855,1.0,2019-05-27,gsc_property,worldwide,mobile,
problemas con tuves hd,3.0,5.0,0.6,1.0,2019-05-27,gsc_property,worldwide,mobile,
tu tv,3.0,13.0,0.23076923076923078,1.3076923076923077,2019-05-27,gsc_property,worldwide,mobile,
tu vez hd,3.0,9.0,0.3333333333333333,1.0,2019-05-27,gsc_property,worldwide,mobile,
tuves hd cdf hd,3.0,8.0,0.375,1.0,2019-05-27,gsc_property,worldwide,mobile,
tuves hd contacto,3.0,4.0,0.75,1.25,2019-05-27,gsc_property,worldwide,mobile,
tuves hd gratis,3.0,13.0,0.23076923076923078,1.0769230769230769,2019-05-27,gsc_property,worldwide,mobile,
tuves tv chile,3.0,4.0,0.75,1.0,2019-05-27,gsc_property,worldwide,mobile,
tuvez,3.0,4.0,0.75,1.0,2019-05-27,gsc_property,worldwide,mobile,
tv cable,3.0,55.0,0.05454545454545454,3.6363636363636362,2019-05-27,gsc_property,worldwide,mobile,
6000 81 6000,2.0,2.0,1.0,1.0,2019-05-27,gsc_property,worldwide,mobile,
cable tv,2.0,14.0,0.14285714285714285,4.857142857142858,2019-05-27,gsc_property,worldwide,mobile,
call center tuves hd,2.0,2.0,1.0,1.0,2019-05-27,gsc_property,worldwide,mobile,
configuracion decodificador tuves,2.0,8.0,0.25,1.0,2019-05-27,gsc_property,worldwide,mobile,
hd tuves,2.0,4.0,0.5,1.0,2019-05-27,gsc_property,worldwide,mobile,
pagar tuves,2.0,25.0,0.08,2.0,2019-05-27,gsc_property,worldwide,mobile,
tuves hd canales,2.0,2.0,1.0,1.0,2019-05-27,gsc_property,worldwide,mobile,
tuves hd chile planes,2.0,5.0,0.4,1.0,2019-05-27,gsc_property,worldwide,mobile,
tuves hd llamar,2.0,2.0,1.0,1.0,2019-05-27,gsc_property,worldwide,mobile,
tuves hd numero telefonico,2.0,7.0,0.2857142857142857,1.7142857142857144,2019-05-27,gsc_property,worldwide,mobile,
