Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves,53.0,85.0,0.6235294117647059,1.011764705882353,2019-05-04,gsc_property,worldwide,mobile,
tuves hd,31.0,49.0,0.6326530612244898,1.0,2019-05-04,gsc_property,worldwide,mobile,
tu ves hd,29.0,37.0,0.7837837837837838,1.0,2019-05-04,gsc_property,worldwide,mobile,
tu ves,27.0,53.0,0.5094339622641509,1.1132075471698113,2019-05-04,gsc_property,worldwide,mobile,
tuves chile,16.0,25.0,0.64,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuves hd planes,15.0,26.0,0.5769230769230769,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuves.cl,11.0,14.0,0.7857142857142857,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuves hd chile,10.0,15.0,0.6666666666666666,1.0,2019-05-04,gsc_property,worldwide,mobile,
tv cable,9.0,75.0,0.12,3.72,2019-05-04,gsc_property,worldwide,mobile,
tuveshd,8.0,23.0,0.34782608695652173,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuves pago,5.0,17.0,0.29411764705882354,2.0,2019-05-04,gsc_property,worldwide,mobile,
tv satelital,5.0,22.0,0.22727272727272727,3.6818181818181817,2019-05-04,gsc_property,worldwide,mobile,
cable tuves,4.0,7.0,0.5714285714285714,1.0,2019-05-04,gsc_property,worldwide,mobile,
mi punto tuves.cl,4.0,4.0,1.0,1.0,2019-05-04,gsc_property,worldwide,mobile,
pagar tuves,4.0,24.0,0.16666666666666666,2.0,2019-05-04,gsc_property,worldwide,mobile,
tu ves cable,4.0,7.0,0.5714285714285714,1.0,2019-05-04,gsc_property,worldwide,mobile,
tubeshd,4.0,5.0,0.8,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuves hd call center,4.0,4.0,1.0,1.0,2019-05-04,gsc_property,worldwide,mobile,
tves,4.0,6.0,0.6666666666666666,4.0,2019-05-04,gsc_property,worldwide,mobile,
mi tuves,3.0,3.0,1.0,1.6666666666666665,2019-05-04,gsc_property,worldwide,mobile,
tu ves tv,3.0,3.0,1.0,1.0,2019-05-04,gsc_property,worldwide,mobile,
tu vez,3.0,9.0,0.3333333333333333,1.0,2019-05-04,gsc_property,worldwide,mobile,
tubes hd,3.0,4.0,0.75,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuves cdf hd,3.0,6.0,0.5,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuves hd chile planes,3.0,6.0,0.5,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuves. cl,3.0,4.0,0.75,1.0,2019-05-04,gsc_property,worldwide,mobile,
tv cable chile,3.0,14.0,0.21428571428571427,4.928571428571429,2019-05-04,gsc_property,worldwide,mobile,
tv cable tuves,3.0,4.0,0.75,1.0,2019-05-04,gsc_property,worldwide,mobile,
tv hogar,3.0,3.0,1.0,6.0,2019-05-04,gsc_property,worldwide,mobile,
canales online,2.0,45.0,0.044444444444444446,9.4,2019-05-04,gsc_property,worldwide,mobile,
donde pagar tuves,2.0,6.0,0.3333333333333333,1.0,2019-05-04,gsc_property,worldwide,mobile,
programacion tuves hd,2.0,2.0,1.0,1.0,2019-05-04,gsc_property,worldwide,mobile,
television cable,2.0,2.0,1.0,2.0,2019-05-04,gsc_property,worldwide,mobile,
tu hd,2.0,2.0,1.0,1.0,2019-05-04,gsc_property,worldwide,mobile,
tu vez hd,2.0,5.0,0.4,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuves cable,2.0,4.0,0.5,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuves hd canales,2.0,3.0,0.6666666666666666,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuves hd pago,2.0,2.0,1.0,2.0,2019-05-04,gsc_property,worldwide,mobile,
tuves pagar,2.0,8.0,0.25,2.0,2019-05-04,gsc_property,worldwide,mobile,
tuves tv,2.0,3.0,0.6666666666666666,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuveshd.cl,2.0,3.0,0.6666666666666666,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuvestv,2.0,3.0,0.6666666666666666,1.0,2019-05-04,gsc_property,worldwide,mobile,
tuvezhd,2.0,3.0,0.6666666666666666,1.0,2019-05-04,gsc_property,worldwide,mobile,
tvs hd,2.0,2.0,1.0,1.0,2019-05-04,gsc_property,worldwide,mobile,
cable por antena,1.0,1.0,1.0,3.0,2019-05-04,gsc_property,worldwide,mobile,
cable por internet chile,1.0,3.0,0.3333333333333333,7.333333333333333,2019-05-04,gsc_property,worldwide,mobile,
cable tubes,1.0,2.0,0.5,1.0,2019-05-04,gsc_property,worldwide,mobile,
cable tv,1.0,17.0,0.058823529411764705,3.588235294117647,2019-05-04,gsc_property,worldwide,mobile,
cable tv hd,1.0,2.0,0.5,1.0,2019-05-04,gsc_property,worldwide,mobile,
canales de tuves,1.0,1.0,1.0,1.0,2019-05-04,gsc_property,worldwide,mobile,
canales tuves,1.0,1.0,1.0,1.0,2019-05-04,gsc_property,worldwide,mobile,
centro de pago tuves hd,1.0,3.0,0.3333333333333333,1.0,2019-05-04,gsc_property,worldwide,mobile,
compañias de tv cable en chile,1.0,2.0,0.5,3.5,2019-05-04,gsc_property,worldwide,mobile,
cual es el tv cable mas barato en chile,1.0,1.0,1.0,2.0,2019-05-04,gsc_property,worldwide,mobile,
decodificador kaonmedia hdrec vm9130,1.0,1.0,1.0,1.0,2019-05-04,gsc_property,worldwide,mobile,
