Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves,45.0,69.0,0.6521739130434783,1.0,2019-05-08,gsc_property,worldwide,mobile,
tu ves,40.0,63.0,0.6349206349206349,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves hd,29.0,63.0,0.4603174603174603,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves chile,25.0,35.0,0.7142857142857143,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves hd planes,15.0,20.0,0.75,1.0,2019-05-08,gsc_property,worldwide,mobile,
tu ves hd,12.0,24.0,0.5,1.0833333333333333,2019-05-08,gsc_property,worldwide,mobile,
tu ves cable,8.0,10.0,0.8,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves.cl,7.0,13.0,0.5384615384615384,1.0,2019-05-08,gsc_property,worldwide,mobile,
tu vez hd,6.0,8.0,0.75,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuvez,6.0,10.0,0.6,1.0,2019-05-08,gsc_property,worldwide,mobile,
tv cable,6.0,83.0,0.07228915662650602,3.8072289156626504,2019-05-08,gsc_property,worldwide,mobile,
tuves cable,5.0,5.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuveshd,5.0,11.0,0.45454545454545453,1.0,2019-05-08,gsc_property,worldwide,mobile,
numero de telefono de tuves,4.0,10.0,0.4,1.8,2019-05-08,gsc_property,worldwide,mobile,
tu vez,4.0,8.0,0.5,1.75,2019-05-08,gsc_property,worldwide,mobile,
tuves hd chile,4.0,6.0,0.6666666666666666,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves tv chile,4.0,4.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
numero de tuves,3.0,3.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves prepago,3.0,3.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
tv satelital,3.0,24.0,0.125,8.333333333333332,2019-05-08,gsc_property,worldwide,mobile,
cable tuves,2.0,3.0,0.6666666666666666,1.0,2019-05-08,gsc_property,worldwide,mobile,
canales de tuves,2.0,2.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
centro de pago tuves hd,2.0,2.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
hd tuves,2.0,5.0,0.4,1.0,2019-05-08,gsc_property,worldwide,mobile,
pagar tuves,2.0,15.0,0.13333333333333333,2.0,2019-05-08,gsc_property,worldwide,mobile,
planes tuves,2.0,2.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
problemas con tuves hd,2.0,6.0,0.3333333333333333,1.0,2019-05-08,gsc_property,worldwide,mobile,
television satelital,2.0,11.0,0.18181818181818182,9.727272727272727,2019-05-08,gsc_property,worldwide,mobile,
tu es hd,2.0,2.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves cdf hd,2.0,4.0,0.5,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves en linea,2.0,5.0,0.4,2.0,2019-05-08,gsc_property,worldwide,mobile,
tuves hd chile planes,2.0,4.0,0.5,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves ovalle,2.0,3.0,0.6666666666666666,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuvezhd,2.0,4.0,0.5,1.0,2019-05-08,gsc_property,worldwide,mobile,
tv cable chile,2.0,7.0,0.2857142857142857,3.0,2019-05-08,gsc_property,worldwide,mobile,
tv cable satelital,2.0,4.0,0.5,2.0,2019-05-08,gsc_property,worldwide,mobile,
www.tuves.cl,2.0,3.0,0.6666666666666666,1.0,2019-05-08,gsc_property,worldwide,mobile,
6000 81 6000,1.0,2.0,0.5,1.0,2019-05-08,gsc_property,worldwide,mobile,
cable tv,1.0,20.0,0.05,2.85,2019-05-08,gsc_property,worldwide,mobile,
canales online cable,1.0,2.0,0.5,17.0,2019-05-08,gsc_property,worldwide,mobile,
chile tv hd,1.0,2.0,0.5,1.0,2019-05-08,gsc_property,worldwide,mobile,
como configurar control tuves hd,1.0,1.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
compañias de tv por cable,1.0,1.0,1.0,2.0,2019-05-08,gsc_property,worldwide,mobile,
configuracion decodificador tuves,1.0,3.0,0.3333333333333333,1.0,2019-05-08,gsc_property,worldwide,mobile,
contratar cable,1.0,3.0,0.3333333333333333,8.0,2019-05-08,gsc_property,worldwide,mobile,
fono tuves hd,1.0,1.0,1.0,2.0,2019-05-08,gsc_property,worldwide,mobile,
inter satelital saldo,1.0,1.0,1.0,8.0,2019-05-08,gsc_property,worldwide,mobile,
kaonmedia hdrec vm9130,1.0,3.0,0.3333333333333333,1.0,2019-05-08,gsc_property,worldwide,mobile,
mi punto tuves.cl,1.0,1.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
mipunto tubes cl,1.0,1.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
numero de tuves hd,1.0,4.0,0.25,2.0,2019-05-08,gsc_property,worldwide,mobile,
pago en linea tuves,1.0,4.0,0.25,2.0,2019-05-08,gsc_property,worldwide,mobile,
pago tuves,1.0,5.0,0.2,2.0,2019-05-08,gsc_property,worldwide,mobile,
programacion canales premium,1.0,4.0,0.25,9.0,2019-05-08,gsc_property,worldwide,mobile,
promociones de tv cable,1.0,1.0,1.0,9.0,2019-05-08,gsc_property,worldwide,mobile,
señal satelital,1.0,4.0,0.25,5.0,2019-05-08,gsc_property,worldwide,mobile,
te llamamos,1.0,5.0,0.2,24.0,2019-05-08,gsc_property,worldwide,mobile,
tele satelital,1.0,1.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
televicion satelital,1.0,1.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
television por cable,1.0,12.0,0.08333333333333333,7.5,2019-05-08,gsc_property,worldwide,mobile,
televisión por cable,1.0,8.0,0.125,5.375,2019-05-08,gsc_property,worldwide,mobile,
tu tv hd,1.0,29.0,0.034482758620689655,5.0344827586206895,2019-05-08,gsc_property,worldwide,mobile,
tu ve,1.0,1.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
tubes hd,1.0,1.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuved,1.0,1.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves hd canales,1.0,1.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves hd cdf hd,1.0,1.0,1.0,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves hd gratis,1.0,8.0,0.125,1.0,2019-05-08,gsc_property,worldwide,mobile,
tuves hd numero telefonico,1.0,11.0,0.09090909090909091,2.0,2019-05-08,gsc_property,worldwide,mobile,
