Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves,55.0,92.0,0.5978260869565217,1.1304347826086956,2019-05-30,gsc_property,worldwide,mobile,
tuves hd,52.0,96.0,0.5416666666666666,1.0,2019-05-30,gsc_property,worldwide,mobile,
tu ves,34.0,69.0,0.4927536231884058,1.0724637681159421,2019-05-30,gsc_property,worldwide,mobile,
tu ves hd,28.0,41.0,0.6829268292682927,1.0,2019-05-30,gsc_property,worldwide,mobile,
cable tuves,12.0,17.0,0.7058823529411765,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuves.cl,9.0,15.0,0.6,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuves hd cdf hd,8.0,15.0,0.5333333333333333,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuves hd chile,8.0,8.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
tu vez hd,6.0,10.0,0.6,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuves cable,6.0,10.0,0.6,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuveshd,6.0,25.0,0.24,1.0,2019-05-30,gsc_property,worldwide,mobile,
tv cable,5.0,55.0,0.09090909090909091,4.109090909090909,2019-05-30,gsc_property,worldwide,mobile,
mi punto tuves.cl,4.0,9.0,0.4444444444444444,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuves hd gratis,4.0,13.0,0.3076923076923077,1.1538461538461537,2019-05-30,gsc_property,worldwide,mobile,
tuves hd numero de contacto,4.0,5.0,0.8,1.8,2019-05-30,gsc_property,worldwide,mobile,
tuves online,4.0,10.0,0.4,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuvez,4.0,7.0,0.5714285714285714,2.2857142857142856,2019-05-30,gsc_property,worldwide,mobile,
call center tuves hd,3.0,3.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuves cl,3.0,5.0,0.6,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuves fono,3.0,7.0,0.42857142857142855,1.7142857142857144,2019-05-30,gsc_property,worldwide,mobile,
tuves hd pago,3.0,14.0,0.21428571428571427,2.0,2019-05-30,gsc_property,worldwide,mobile,
tuves satelital,3.0,4.0,0.75,2.5,2019-05-30,gsc_property,worldwide,mobile,
tuves tv reclamos,3.0,4.0,0.75,1.25,2019-05-30,gsc_property,worldwide,mobile,
tv cable chile,3.0,12.0,0.25,4.833333333333334,2019-05-30,gsc_property,worldwide,mobile,
tves chile,3.0,4.0,0.75,1.0,2019-05-30,gsc_property,worldwide,mobile,
cable tuves hd,2.0,4.0,0.5,1.0,2019-05-30,gsc_property,worldwide,mobile,
como configurar control tuves hd,2.0,2.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
compañias de cable,2.0,3.0,0.6666666666666666,5.333333333333333,2019-05-30,gsc_property,worldwide,mobile,
configuracion decodificador tuves,2.0,3.0,0.6666666666666666,1.0,2019-05-30,gsc_property,worldwide,mobile,
fono tuves,2.0,3.0,0.6666666666666666,1.3333333333333333,2019-05-30,gsc_property,worldwide,mobile,
mi.tuves,2.0,3.0,0.6666666666666666,1.3333333333333333,2019-05-30,gsc_property,worldwide,mobile,
numero de telefono de tuves,2.0,10.0,0.2,2.0,2019-05-30,gsc_property,worldwide,mobile,
pagar tuves,2.0,25.0,0.08,2.0,2019-05-30,gsc_property,worldwide,mobile,
planes tv cable,2.0,5.0,0.4,6.0,2019-05-30,gsc_property,worldwide,mobile,
television prepago,2.0,3.0,0.6666666666666666,3.0,2019-05-30,gsc_property,worldwide,mobile,
televisión por cable,2.0,6.0,0.3333333333333333,5.5,2019-05-30,gsc_property,worldwide,mobile,
tu tv hd,2.0,30.0,0.06666666666666667,5.333333333333333,2019-05-30,gsc_property,worldwide,mobile,
tu ves cable,2.0,4.0,0.5,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuvehd,2.0,3.0,0.6666666666666666,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuves hd cable,2.0,3.0,0.6666666666666666,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuves iquique,2.0,2.0,1.0,2.0,2019-05-30,gsc_property,worldwide,mobile,
tuves pagar,2.0,22.0,0.09090909090909091,2.0,2019-05-30,gsc_property,worldwide,mobile,
tuves pago,2.0,12.0,0.16666666666666666,2.0,2019-05-30,gsc_property,worldwide,mobile,
tuves programacion,2.0,2.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuves tv,2.0,7.0,0.2857142857142857,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuvestv,2.0,3.0,0.6666666666666666,1.0,2019-05-30,gsc_property,worldwide,mobile,
tves,2.0,8.0,0.25,4.375,2019-05-30,gsc_property,worldwide,mobile,
antenas prepago,1.0,2.0,0.5,4.5,2019-05-30,gsc_property,worldwide,mobile,
cable online chile,1.0,1.0,1.0,8.0,2019-05-30,gsc_property,worldwide,mobile,
cable tv,1.0,15.0,0.06666666666666667,5.133333333333334,2019-05-30,gsc_property,worldwide,mobile,
canales play,1.0,2.0,0.5,1.0,2019-05-30,gsc_property,worldwide,mobile,
canales premium online,1.0,2.0,0.5,10.0,2019-05-30,gsc_property,worldwide,mobile,
canales tuves,1.0,2.0,0.5,1.0,2019-05-30,gsc_property,worldwide,mobile,
centro de pago tuves hd,1.0,2.0,0.5,1.0,2019-05-30,gsc_property,worldwide,mobile,
claro tv prepago,1.0,3.0,0.3333333333333333,10.666666666666666,2019-05-30,gsc_property,worldwide,mobile,
compañias de cable en chile,1.0,3.0,0.3333333333333333,4.666666666666666,2019-05-30,gsc_property,worldwide,mobile,
donde pagar tuves,1.0,1.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
empresas de tv cable en chile,1.0,1.0,1.0,4.0,2019-05-30,gsc_property,worldwide,mobile,
hd tuves,1.0,1.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
hdtv chile,1.0,1.0,1.0,3.0,2019-05-30,gsc_property,worldwide,mobile,
mi tuves,1.0,1.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
mipunto tubes cl,1.0,2.0,0.5,1.0,2019-05-30,gsc_property,worldwide,mobile,
nosotros te llamamos,1.0,1.0,1.0,5.0,2019-05-30,gsc_property,worldwide,mobile,
numero de tuves,1.0,2.0,0.5,1.5,2019-05-30,gsc_property,worldwide,mobile,
numero de tuves hd,1.0,2.0,0.5,2.0,2019-05-30,gsc_property,worldwide,mobile,
numero de tuves hd chile,1.0,4.0,0.25,2.0,2019-05-30,gsc_property,worldwide,mobile,
numero del tv cable,1.0,2.0,0.5,1.0,2019-05-30,gsc_property,worldwide,mobile,
pagar tuves hd,1.0,8.0,0.125,2.0,2019-05-30,gsc_property,worldwide,mobile,
pago tuves hd,1.0,1.0,1.0,2.0,2019-05-30,gsc_property,worldwide,mobile,
planes de tv cable,1.0,3.0,0.3333333333333333,7.0,2019-05-30,gsc_property,worldwide,mobile,
planes television,1.0,2.0,0.5,7.5,2019-05-30,gsc_property,worldwide,mobile,
planes tv,1.0,2.0,0.5,7.0,2019-05-30,gsc_property,worldwide,mobile,
problemas con tuves hd,1.0,2.0,0.5,1.0,2019-05-30,gsc_property,worldwide,mobile,
programacion cable,1.0,13.0,0.07692307692307693,6.076923076923077,2019-05-30,gsc_property,worldwide,mobile,
programacion fox action chile,1.0,2.0,0.5,10.0,2019-05-30,gsc_property,worldwide,mobile,
punto tv,1.0,1.0,1.0,4.0,2019-05-30,gsc_property,worldwide,mobile,
servicio al cliente tuves hd,1.0,1.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
soporte tecnico tuves hd,1.0,2.0,0.5,1.5,2019-05-30,gsc_property,worldwide,mobile,
televicion satelital,1.0,1.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
television cable,1.0,4.0,0.25,1.75,2019-05-30,gsc_property,worldwide,mobile,
television hd,1.0,2.0,0.5,5.5,2019-05-30,gsc_property,worldwide,mobile,
television satelital,1.0,13.0,0.07692307692307693,2.4615384615384617,2019-05-30,gsc_property,worldwide,mobile,
television satelital chile,1.0,3.0,0.3333333333333333,1.0,2019-05-30,gsc_property,worldwide,mobile,
tu es hd,1.0,1.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
tu tv cable,1.0,1.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
tu ves.cl,1.0,1.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
tu vez,1.0,6.0,0.16666666666666666,1.0,2019-05-30,gsc_property,worldwide,mobile,
tubeshd,1.0,1.0,1.0,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuve hd,1.0,3.0,0.3333333333333333,1.0,2019-05-30,gsc_property,worldwide,mobile,
tuves chile,1.0,4.0,0.25,1.0,2019-05-30,gsc_property,worldwide,mobile,
