id,Clicks,Impressions,CTR,Position,Date
0,490.0,1491.0,0.37529247451441444,12.18312709591936,2019-05-01
1,523.0,1463.0,0.37419434146655384,9.583288277869254,2019-05-02
2,489.0,1430.0,0.41669626979065516,10.206093230008458,2019-05-03
3,445.0,1236.0,0.3932592726173164,12.091732277566667,2019-05-04
4,496.0,3601.0,0.3704250648397408,10.64079613429788,2019-05-05
5,541.0,1936.0,0.37045097800760135,7.774374078579902,2019-05-06
6,486.0,1418.0,0.38141558401872444,10.244742701863165,2019-05-07
7,440.0,1304.0,0.37362253628241376,11.830841801128814,2019-05-08
8,376.0,978.0,0.41492878987455534,12.321839558272087,2019-05-09
9,342.0,1035.0,0.2932732956637067,16.193199697023335,2019-05-10
10,432.0,1201.0,0.29682978886742,17.03109266793162,2019-05-11
11,410.0,2093.0,0.30590310162405787,14.07461651298786,2019-05-12
12,462.0,1418.0,0.3428634229593262,12.338043841471936,2019-05-13
13,407.0,1147.0,0.34536637173423035,14.82415695612122,2019-05-14
14,460.0,1253.0,0.35907213849434366,13.995120309293554,2019-05-15
15,495.0,1273.0,0.39068131277104956,13.678938283939083,2019-05-16
16,540.0,1400.0,0.3384217219892672,14.915788905117536,2019-05-17
17,599.0,1672.0,0.35955803128620883,11.640015799060512,2019-05-18
18,397.0,1486.0,0.32690618193805987,14.789083634755505,2019-05-19
19,418.0,1478.0,0.33931742645312474,15.0002049091344,2019-05-20
20,378.0,1124.0,0.34902303572443155,14.36371773481566,2019-05-21
21,395.0,1280.0,0.3043206315134792,15.51144667446941,2019-05-22
22,397.0,1095.0,0.35418444017875333,15.158049922419387,2019-05-23
23,382.0,1087.0,0.3247510726892204,16.382617734774428,2019-05-24
24,444.0,1264.0,0.3611067744901955,16.248276183045178,2019-05-25
25,339.0,1137.0,0.31899044062881854,15.83354254905076,2019-05-26
26,397.0,1353.0,0.29518296726934623,13.412521373702331,2019-05-27
27,353.0,1068.0,0.304342336125068,14.793058785761891,2019-05-28
28,454.0,1387.0,0.37471334476765994,15.216974226970974,2019-05-29
29,516.0,1406.0,0.38818974491945574,10.222616822224644,2019-05-30
30,535.0,1508.0,0.39053602609318866,13.517079620026106,2019-05-31
