Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves,47.0,68.0,0.6911764705882353,1.1764705882352942,2019-05-23,gsc_property,worldwide,mobile,
tuves hd,34.0,53.0,0.6415094339622641,1.0,2019-05-23,gsc_property,worldwide,mobile,
tu ves,29.0,60.0,0.48333333333333334,1.4,2019-05-23,gsc_property,worldwide,mobile,
tu ves hd,17.0,22.0,0.7727272727272727,1.0,2019-05-23,gsc_property,worldwide,mobile,
tuves hd cdf hd,16.0,18.0,0.8888888888888888,1.0,2019-05-23,gsc_property,worldwide,mobile,
tuves cl,11.0,15.0,0.7333333333333333,1.0,2019-05-23,gsc_property,worldwide,mobile,
tuves hd chile,10.0,13.0,0.7692307692307693,1.0,2019-05-23,gsc_property,worldwide,mobile,
tu vez hd,7.0,12.0,0.5833333333333334,1.0,2019-05-23,gsc_property,worldwide,mobile,
tuves.cl,7.0,9.0,0.7777777777777778,1.0,2019-05-23,gsc_property,worldwide,mobile,
tuveshd,7.0,16.0,0.4375,1.0,2019-05-23,gsc_property,worldwide,mobile,
tu tv,6.0,16.0,0.375,1.1875,2019-05-23,gsc_property,worldwide,mobile,
cable tuves,5.0,11.0,0.45454545454545453,1.0,2019-05-23,gsc_property,worldwide,mobile,
tuves fono,5.0,5.0,1.0,1.8,2019-05-23,gsc_property,worldwide,mobile,
tu ves tv,4.0,6.0,0.6666666666666666,1.0,2019-05-23,gsc_property,worldwide,mobile,
tuves chile,4.0,4.0,1.0,1.0,2019-05-23,gsc_property,worldwide,mobile,
tuves cable,3.0,5.0,0.6,1.0,2019-05-23,gsc_property,worldwide,mobile,
tuves numero,3.0,8.0,0.375,1.75,2019-05-23,gsc_property,worldwide,mobile,
tves chile,3.0,4.0,0.75,1.0,2019-05-23,gsc_property,worldwide,mobile,
cable tuves hd,2.0,2.0,1.0,1.0,2019-05-23,gsc_property,worldwide,mobile,
canales tuves,2.0,4.0,0.5,1.0,2019-05-23,gsc_property,worldwide,mobile,
canales tuves hd,2.0,2.0,1.0,1.0,2019-05-23,gsc_property,worldwide,mobile,
coordenadas tuves hd,2.0,2.0,1.0,3.0,2019-05-23,gsc_property,worldwide,mobile,
hd tuves,2.0,3.0,0.6666666666666666,1.0,2019-05-23,gsc_property,worldwide,mobile,
mi punto tuves.cl,2.0,3.0,0.6666666666666666,1.3333333333333333,2019-05-23,gsc_property,worldwide,mobile,
mi tuves,2.0,2.0,1.0,1.5,2019-05-23,gsc_property,worldwide,mobile,
numero de tuves,2.0,3.0,0.6666666666666666,3.0,2019-05-23,gsc_property,worldwide,mobile,
television por cable,2.0,14.0,0.14285714285714285,6.5,2019-05-23,gsc_property,worldwide,mobile,
tuves hd cable,2.0,3.0,0.6666666666666666,1.0,2019-05-23,gsc_property,worldwide,mobile,
tuves hd pagos,2.0,11.0,0.18181818181818182,2.0,2019-05-23,gsc_property,worldwide,mobile,
tuves online,2.0,3.0,0.6666666666666666,1.0,2019-05-23,gsc_property,worldwide,mobile,
tuves pagar,2.0,17.0,0.11764705882352941,2.0,2019-05-23,gsc_property,worldwide,mobile,
tuves prepago,2.0,3.0,0.6666666666666666,1.0,2019-05-23,gsc_property,worldwide,mobile,
tv hogar,2.0,6.0,0.3333333333333333,16.166666666666664,2019-05-23,gsc_property,worldwide,mobile,
tv satelital,2.0,28.0,0.07142857142857142,4.214285714285714,2019-05-23,gsc_property,worldwide,mobile,
tv tuves,2.0,3.0,0.6666666666666666,1.0,2019-05-23,gsc_property,worldwide,mobile,
