Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves,63.0,95.0,0.6631578947368421,1.0736842105263158,2019-05-29,gsc_property,worldwide,mobile,
tuves hd,44.0,70.0,0.6285714285714286,1.0,2019-05-29,gsc_property,worldwide,mobile,
tu ves,32.0,59.0,0.5423728813559322,1.1355932203389831,2019-05-29,gsc_property,worldwide,mobile,
tu ves hd,22.0,35.0,0.6285714285714286,1.0,2019-05-29,gsc_property,worldwide,mobile,
tv cable,11.0,70.0,0.15714285714285714,3.9285714285714284,2019-05-29,gsc_property,worldwide,mobile,
tuves pago,10.0,20.0,0.5,2.0,2019-05-29,gsc_property,worldwide,mobile,
tuves hd cdf hd,8.0,16.0,0.5,1.0,2019-05-29,gsc_property,worldwide,mobile,
tuves hd chile,8.0,8.0,1.0,1.0,2019-05-29,gsc_property,worldwide,mobile,
tuves.cl,8.0,13.0,0.6153846153846154,1.0,2019-05-29,gsc_property,worldwide,mobile,
tu vez hd,6.0,10.0,0.6,1.0,2019-05-29,gsc_property,worldwide,mobile,
tuveshd,6.0,16.0,0.375,1.0,2019-05-29,gsc_property,worldwide,mobile,
call center tuves,5.0,7.0,0.7142857142857143,1.0,2019-05-29,gsc_property,worldwide,mobile,
tuves cl,5.0,8.0,0.625,1.0,2019-05-29,gsc_property,worldwide,mobile,
tuvez,5.0,12.0,0.4166666666666667,2.5,2019-05-29,gsc_property,worldwide,mobile,
cable tuves,4.0,10.0,0.4,1.0,2019-05-29,gsc_property,worldwide,mobile,
mi punto tuves.cl,4.0,4.0,1.0,1.0,2019-05-29,gsc_property,worldwide,mobile,
tuves hd chile reclamos,4.0,7.0,0.5714285714285714,4.0,2019-05-29,gsc_property,worldwide,mobile,
tuves online,4.0,13.0,0.3076923076923077,1.0,2019-05-29,gsc_property,worldwide,mobile,
tuves pagos,4.0,21.0,0.19047619047619047,2.0,2019-05-29,gsc_property,worldwide,mobile,
call center tuves hd,3.0,3.0,1.0,1.0,2019-05-29,gsc_property,worldwide,mobile,
tu es hd,3.0,3.0,1.0,1.0,2019-05-29,gsc_property,worldwide,mobile,
tuves en linea,3.0,3.0,1.0,2.0,2019-05-29,gsc_property,worldwide,mobile,
tuves hd chile planes,3.0,5.0,0.6,1.0,2019-05-29,gsc_property,worldwide,mobile,
tuves. cl,3.0,5.0,0.6,1.0,2019-05-29,gsc_property,worldwide,mobile,
tuvezhd,3.0,4.0,0.75,1.0,2019-05-29,gsc_property,worldwide,mobile,
tv hd,3.0,17.0,0.17647058823529413,3.7058823529411766,2019-05-29,gsc_property,worldwide,mobile,
canales online,2.0,84.0,0.023809523809523808,7.833333333333333,2019-05-29,gsc_property,worldwide,mobile,
canales peruanos en chile,2.0,2.0,1.0,2.0,2019-05-29,gsc_property,worldwide,mobile,
configuracion decodificador tuves,2.0,5.0,0.4,1.0,2019-05-29,gsc_property,worldwide,mobile,
hd tuves,2.0,2.0,1.0,1.0,2019-05-29,gsc_property,worldwide,mobile,
numero de tuves,2.0,8.0,0.25,1.625,2019-05-29,gsc_property,worldwide,mobile,
numero telefonico de tuves hd,2.0,5.0,0.4,1.6,2019-05-29,gsc_property,worldwide,mobile,
pagar tuves,2.0,13.0,0.15384615384615385,2.0,2019-05-29,gsc_property,worldwide,mobile,
television satelital,2.0,13.0,0.15384615384615385,2.8461538461538463,2019-05-29,gsc_property,worldwide,mobile,
televisión satelital,2.0,19.0,0.10526315789473684,3.210526315789474,2019-05-29,gsc_property,worldwide,mobile,
teléfono de tuves hd,2.0,9.0,0.2222222222222222,1.8888888888888888,2019-05-29,gsc_property,worldwide,mobile,
tu tv,2.0,8.0,0.25,1.25,2019-05-29,gsc_property,worldwide,mobile,
tuves hd gratis,2.0,8.0,0.25,1.25,2019-05-29,gsc_property,worldwide,mobile,
tuves iquique,2.0,2.0,1.0,2.0,2019-05-29,gsc_property,worldwide,mobile,
tuves planes,2.0,2.0,1.0,1.0,2019-05-29,gsc_property,worldwide,mobile,
tuves tv cable,2.0,3.0,0.6666666666666666,1.0,2019-05-29,gsc_property,worldwide,mobile,
tv cable tuves,2.0,2.0,1.0,1.0,2019-05-29,gsc_property,worldwide,mobile,
tv hd gratis,2.0,8.0,0.25,12.0,2019-05-29,gsc_property,worldwide,mobile,
tv satelital,2.0,20.0,0.1,2.4,2019-05-29,gsc_property,worldwide,mobile,
cable satelital,1.0,2.0,0.5,1.0,2019-05-29,gsc_property,worldwide,mobile,
cable tv,1.0,13.0,0.07692307692307693,4.538461538461538,2019-05-29,gsc_property,worldwide,mobile,
cable tv chile,1.0,1.0,1.0,2.0,2019-05-29,gsc_property,worldwide,mobile,
como configurar control tuves hd,1.0,2.0,0.5,1.0,2019-05-29,gsc_property,worldwide,mobile,
companias de cable,1.0,1.0,1.0,2.0,2019-05-29,gsc_property,worldwide,mobile,
contratar television,1.0,2.0,0.5,6.0,2019-05-29,gsc_property,worldwide,mobile,
fono tuves hd,1.0,2.0,0.5,1.5,2019-05-29,gsc_property,worldwide,mobile,
guia programacion cable,1.0,1.0,1.0,6.0,2019-05-29,gsc_property,worldwide,mobile,
hd,1.0,72.0,0.013888888888888888,7.166666666666667,2019-05-29,gsc_property,worldwide,mobile,
internet satelital chile,1.0,1.0,1.0,46.0,2019-05-29,gsc_property,worldwide,mobile,
mi.tuves,1.0,1.0,1.0,1.0,2019-05-29,gsc_property,worldwide,mobile,
pago tuves,1.0,5.0,0.2,2.0,2019-05-29,gsc_property,worldwide,mobile,
planes de television,1.0,4.0,0.25,8.5,2019-05-29,gsc_property,worldwide,mobile,
planes tv,1.0,4.0,0.25,7.0,2019-05-29,gsc_property,worldwide,mobile,
programacion cable,1.0,13.0,0.07692307692307693,6.384615384615385,2019-05-29,gsc_property,worldwide,mobile,
servicio al cliente tuves hd,1.0,1.0,1.0,1.0,2019-05-29,gsc_property,worldwide,mobile,
tu ves cable,1.0,1.0,1.0,1.0,2019-05-29,gsc_property,worldwide,mobile,
tu ves.cl,1.0,1.0,1.0,1.0,2019-05-29,gsc_property,worldwide,mobile,
tu vez,1.0,6.0,0.16666666666666666,2.166666666666667,2019-05-29,gsc_property,worldwide,mobile,
tu vez o tu ves,1.0,1.0,1.0,2.0,2019-05-29,gsc_property,worldwide,mobile,
tubes tv,1.0,1.0,1.0,2.0,2019-05-29,gsc_property,worldwide,mobile,
tubeshd,1.0,1.0,1.0,1.0,2019-05-29,gsc_property,worldwide,mobile,
