Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves hd,47.0,62.0,0.7580645161290323,1.0,2019-05-21,gsc_property,worldwide,mobile,
tuves,38.0,66.0,0.5757575757575758,1.0757575757575757,2019-05-21,gsc_property,worldwide,mobile,
tu ves hd,23.0,29.0,0.7931034482758621,1.0,2019-05-21,gsc_property,worldwide,mobile,
tuves chile,23.0,30.0,0.7666666666666667,1.0,2019-05-21,gsc_property,worldwide,mobile,
tu ves,22.0,41.0,0.5365853658536586,1.0975609756097562,2019-05-21,gsc_property,worldwide,mobile,
tuves.cl,7.0,7.0,1.0,1.0,2019-05-21,gsc_property,worldwide,mobile,
tu ves cable,6.0,8.0,0.75,1.0,2019-05-21,gsc_property,worldwide,mobile,
tuves hd contacto,6.0,10.0,0.6,1.4,2019-05-21,gsc_property,worldwide,mobile,
tuves hd gratis,6.0,10.0,0.6,1.0,2019-05-21,gsc_property,worldwide,mobile,
tuves hd chile,5.0,5.0,1.0,1.0,2019-05-21,gsc_property,worldwide,mobile,
tuveshd,5.0,16.0,0.3125,1.0,2019-05-21,gsc_property,worldwide,mobile,
tv satelital,5.0,28.0,0.17857142857142858,5.607142857142857,2019-05-21,gsc_property,worldwide,mobile,
canales tuves hd,4.0,5.0,0.8,1.0,2019-05-21,gsc_property,worldwide,mobile,
tuveshd.cl,4.0,5.0,0.8,1.0,2019-05-21,gsc_property,worldwide,mobile,
call center tuves hd,3.0,3.0,1.0,1.0,2019-05-21,gsc_property,worldwide,mobile,
television satelital,3.0,21.0,0.14285714285714285,3.8095238095238093,2019-05-21,gsc_property,worldwide,mobile,
tuves cable,3.0,8.0,0.375,1.0,2019-05-21,gsc_property,worldwide,mobile,
tuves hd servicio al cliente,3.0,4.0,0.75,1.0,2019-05-21,gsc_property,worldwide,mobile,
cable tuves,2.0,4.0,0.5,1.0,2019-05-21,gsc_property,worldwide,mobile,
canales online,2.0,74.0,0.02702702702702703,8.783783783783784,2019-05-21,gsc_property,worldwide,mobile,
mipunto tubes cl,2.0,3.0,0.6666666666666666,1.0,2019-05-21,gsc_property,worldwide,mobile,
pago tuves,2.0,6.0,0.3333333333333333,2.0,2019-05-21,gsc_property,worldwide,mobile,
television hogar,2.0,3.0,0.6666666666666666,6.666666666666667,2019-05-21,gsc_property,worldwide,mobile,
tu ves tv,2.0,3.0,0.6666666666666666,1.0,2019-05-21,gsc_property,worldwide,mobile,
tu veshd,2.0,4.0,0.5,1.0,2019-05-21,gsc_property,worldwide,mobile,
tu vez hd,2.0,10.0,0.2,1.0,2019-05-21,gsc_property,worldwide,mobile,
tubes hd,2.0,3.0,0.6666666666666666,1.0,2019-05-21,gsc_property,worldwide,mobile,
tuves hd canales,2.0,2.0,1.0,1.0,2019-05-21,gsc_property,worldwide,mobile,
tuves hd cdf hd,2.0,3.0,0.6666666666666666,1.0,2019-05-21,gsc_property,worldwide,mobile,
tuves hd chile planes,2.0,4.0,0.5,1.0,2019-05-21,gsc_property,worldwide,mobile,
tuves hd pagos,2.0,11.0,0.18181818181818182,2.0,2019-05-21,gsc_property,worldwide,mobile,
tuves pago,2.0,12.0,0.16666666666666666,2.0,2019-05-21,gsc_property,worldwide,mobile,
tuves tv,2.0,2.0,1.0,1.0,2019-05-21,gsc_property,worldwide,mobile,
tuves. cl,2.0,3.0,0.6666666666666666,1.0,2019-05-21,gsc_property,worldwide,mobile,
tv cable,2.0,40.0,0.05,3.8,2019-05-21,gsc_property,worldwide,mobile,
antena tuves hd,1.0,2.0,0.5,1.0,2019-05-21,gsc_property,worldwide,mobile,
cable barato,1.0,7.0,0.14285714285714285,1.5714285714285714,2019-05-21,gsc_property,worldwide,mobile,
cable barato sin contrato,1.0,2.0,0.5,27.5,2019-05-21,gsc_property,worldwide,mobile,
cable chile,1.0,2.0,0.5,10.5,2019-05-21,gsc_property,worldwide,mobile,
cable prepago,1.0,10.0,0.1,5.4,2019-05-21,gsc_property,worldwide,mobile,
cable tuves hd,1.0,2.0,0.5,1.0,2019-05-21,gsc_property,worldwide,mobile,
cable tv hd,1.0,2.0,0.5,1.5,2019-05-21,gsc_property,worldwide,mobile,
canales play,1.0,1.0,1.0,2.0,2019-05-21,gsc_property,worldwide,mobile,
configuracion decodificador tuves,1.0,3.0,0.3333333333333333,1.0,2019-05-21,gsc_property,worldwide,mobile,
contratar cable,1.0,2.0,0.5,8.0,2019-05-21,gsc_property,worldwide,mobile,
csble,1.0,1.0,1.0,10.0,2019-05-21,gsc_property,worldwide,mobile,
