Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves hd,42.0,64.0,0.65625,1.0,2019-05-19,gsc_property,worldwide,mobile,
tu ves,31.0,65.0,0.47692307692307695,1.2,2019-05-19,gsc_property,worldwide,mobile,
tuves,30.0,51.0,0.5882352941176471,1.0588235294117647,2019-05-19,gsc_property,worldwide,mobile,
tuves chile,26.0,36.0,0.7222222222222222,1.0555555555555556,2019-05-19,gsc_property,worldwide,mobile,
tu ves hd,13.0,18.0,0.7222222222222222,1.0,2019-05-19,gsc_property,worldwide,mobile,
call center tuves hd,7.0,8.0,0.875,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuveshd,7.0,9.0,0.7777777777777778,1.0,2019-05-19,gsc_property,worldwide,mobile,
canales online,6.0,74.0,0.08108108108108109,8.45945945945946,2019-05-19,gsc_property,worldwide,mobile,
tuves hd cdf hd,6.0,9.0,0.6666666666666666,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuves hd contacto,6.0,7.0,0.8571428571428571,1.2857142857142856,2019-05-19,gsc_property,worldwide,mobile,
tuves.cl,6.0,8.0,0.75,1.0,2019-05-19,gsc_property,worldwide,mobile,
tu ves cable,5.0,6.0,0.8333333333333334,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuves hd chile,5.0,10.0,0.5,1.0,2019-05-19,gsc_property,worldwide,mobile,
cable tuves,4.0,6.0,0.6666666666666666,1.3333333333333333,2019-05-19,gsc_property,worldwide,mobile,
tuves hd pagos,4.0,13.0,0.3076923076923077,2.0,2019-05-19,gsc_property,worldwide,mobile,
tuves programacion,4.0,4.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
cable tv,3.0,16.0,0.1875,2.8125,2019-05-19,gsc_property,worldwide,mobile,
hd tuves,3.0,6.0,0.5,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuves cable,3.0,5.0,0.6,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuves hd gratis,3.0,3.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuves tv,3.0,4.0,0.75,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuves tv chile,3.0,4.0,0.75,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuves. cl,3.0,3.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuveshd.cl,3.0,5.0,0.6,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuvez,3.0,7.0,0.42857142857142855,1.0,2019-05-19,gsc_property,worldwide,mobile,
tv satelital,3.0,34.0,0.08823529411764706,2.2058823529411766,2019-05-19,gsc_property,worldwide,mobile,
tves chile,3.0,3.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
cable tuves hd,2.0,2.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
donde pagar tuves hd,2.0,2.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
numero de tuves,2.0,4.0,0.5,1.0,2019-05-19,gsc_property,worldwide,mobile,
pagar tuves,2.0,17.0,0.11764705882352941,2.0,2019-05-19,gsc_property,worldwide,mobile,
television por cable,2.0,9.0,0.2222222222222222,6.777777777777778,2019-05-19,gsc_property,worldwide,mobile,
television satelital,2.0,18.0,0.1111111111111111,2.2222222222222223,2019-05-19,gsc_property,worldwide,mobile,
tu es hd,2.0,3.0,0.6666666666666666,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuves hd pago,2.0,3.0,0.6666666666666666,2.0,2019-05-19,gsc_property,worldwide,mobile,
tuves pago,2.0,7.0,0.2857142857142857,2.0,2019-05-19,gsc_property,worldwide,mobile,
tuves television,2.0,7.0,0.2857142857142857,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuvezhd,2.0,2.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
tv cable,2.0,65.0,0.03076923076923077,4.36923076923077,2019-05-19,gsc_property,worldwide,mobile,
tv cable online chile,2.0,10.0,0.2,9.8,2019-05-19,gsc_property,worldwide,mobile,
cable mas barato,1.0,1.0,1.0,3.0,2019-05-19,gsc_property,worldwide,mobile,
cable prepago,1.0,7.0,0.14285714285714285,2.428571428571429,2019-05-19,gsc_property,worldwide,mobile,
cables satelitales,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
canales abiertos chile,1.0,1.0,1.0,23.0,2019-05-19,gsc_property,worldwide,mobile,
canales de tv cable,1.0,4.0,0.25,6.5,2019-05-19,gsc_property,worldwide,mobile,
canales del mundo online,1.0,1.0,1.0,19.0,2019-05-19,gsc_property,worldwide,mobile,
canales tuves,1.0,3.0,0.3333333333333333,1.0,2019-05-19,gsc_property,worldwide,mobile,
canales tuves hd,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
centro de pago tuves hd,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
chile tv hd,1.0,5.0,0.2,1.8,2019-05-19,gsc_property,worldwide,mobile,
compañias de cable,1.0,3.0,0.3333333333333333,5.333333333333333,2019-05-19,gsc_property,worldwide,mobile,
configuracion decodificador tuves,1.0,2.0,0.5,1.0,2019-05-19,gsc_property,worldwide,mobile,
directv prepago 2 decos,1.0,1.0,1.0,55.0,2019-05-19,gsc_property,worldwide,mobile,
empresas de tv cable en chile,1.0,1.0,1.0,3.0,2019-05-19,gsc_property,worldwide,mobile,
mi.tuves,1.0,2.0,0.5,2.0,2019-05-19,gsc_property,worldwide,mobile,
mipunto tubes cl,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
na1730,1.0,1.0,1.0,2.0,2019-05-19,gsc_property,worldwide,mobile,
operadores de cable,1.0,1.0,1.0,2.0,2019-05-19,gsc_property,worldwide,mobile,
pagar tuves hd,1.0,7.0,0.14285714285714285,2.0,2019-05-19,gsc_property,worldwide,mobile,
pagar tuveshd,1.0,1.0,1.0,2.0,2019-05-19,gsc_property,worldwide,mobile,
planes de television,1.0,7.0,0.14285714285714285,6.857142857142857,2019-05-19,gsc_property,worldwide,mobile,
planes de tv cable,1.0,9.0,0.1111111111111111,6.0,2019-05-19,gsc_property,worldwide,mobile,
planes tuves,1.0,2.0,0.5,1.0,2019-05-19,gsc_property,worldwide,mobile,
planes tv,1.0,6.0,0.16666666666666666,6.833333333333333,2019-05-19,gsc_property,worldwide,mobile,
por no hd,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
problemas con tuves hd,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
programacion cable chile,1.0,12.0,0.08333333333333333,7.5,2019-05-19,gsc_property,worldwide,mobile,
programacion canales cable,1.0,8.0,0.125,7.375,2019-05-19,gsc_property,worldwide,mobile,
promociones tv cable,1.0,1.0,1.0,8.0,2019-05-19,gsc_property,worldwide,mobile,
servicio al cliente tuves,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
servicio de tv cable,1.0,1.0,1.0,4.0,2019-05-19,gsc_property,worldwide,mobile,
soporte tecnico tuves hd,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
telefono tuves,1.0,3.0,0.3333333333333333,2.0,2019-05-19,gsc_property,worldwide,mobile,
television por cable mas economico,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
televisión hd,1.0,8.0,0.125,4.875,2019-05-19,gsc_property,worldwide,mobile,
televisión por cable,1.0,9.0,0.1111111111111111,5.555555555555555,2019-05-19,gsc_property,worldwide,mobile,
televisión satelital,1.0,12.0,0.08333333333333333,3.5,2019-05-19,gsc_property,worldwide,mobile,
tu mundo internet,1.0,2.0,0.5,7.0,2019-05-19,gsc_property,worldwide,mobile,
tu tv,1.0,13.0,0.07692307692307693,1.0,2019-05-19,gsc_property,worldwide,mobile,
tu ves.cl,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
tu veshd,1.0,2.0,0.5,1.0,2019-05-19,gsc_property,worldwide,mobile,
tu vez hd,1.0,6.0,0.16666666666666666,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuves hd chile planes,1.0,4.0,0.25,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuves hd iquique,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
tuves hd numero telefonico,1.0,5.0,0.2,2.0,2019-05-19,gsc_property,worldwide,mobile,
tuves hd telefono,1.0,2.0,0.5,2.0,2019-05-19,gsc_property,worldwide,mobile,
tuves iquique,1.0,1.0,1.0,2.0,2019-05-19,gsc_property,worldwide,mobile,
tuves planes,1.0,2.0,0.5,1.0,2019-05-19,gsc_property,worldwide,mobile,
tv cable economico,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
tv cable mas barato,1.0,3.0,0.3333333333333333,1.0,2019-05-19,gsc_property,worldwide,mobile,
tv cable tuves,1.0,3.0,0.3333333333333333,1.0,2019-05-19,gsc_property,worldwide,mobile,
tv hd,1.0,38.0,0.02631578947368421,4.789473684210526,2019-05-19,gsc_property,worldwide,mobile,
tv prepago chile,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
tves hd,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
tvhd,1.0,9.0,0.1111111111111111,5.222222222222222,2019-05-19,gsc_property,worldwide,mobile,
tvs hd,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,mobile,
tvves,1.0,2.0,0.5,1.0,2019-05-19,gsc_property,worldwide,mobile,
tú ves televisión,1.0,2.0,0.5,1.0,2019-05-19,gsc_property,worldwide,mobile,
www tuves cl pago,1.0,5.0,0.2,2.0,2019-05-19,gsc_property,worldwide,mobile,
www.tuves.cl,1.0,3.0,0.3333333333333333,1.0,2019-05-19,gsc_property,worldwide,mobile,
canales online,16.0,109.0,0.14678899082568808,8.211009174311926,2019-05-19,gsc_property,worldwide,desktop,
tuves hd,13.0,17.0,0.7647058823529411,1.0588235294117647,2019-05-19,gsc_property,worldwide,desktop,
tuves,6.0,12.0,0.5,1.0,2019-05-19,gsc_property,worldwide,desktop,
tuves programacion,5.0,5.0,1.0,1.0,2019-05-19,gsc_property,worldwide,desktop,
tv cable,4.0,34.0,0.11764705882352941,3.911764705882353,2019-05-19,gsc_property,worldwide,desktop,
tu tv,3.0,11.0,0.2727272727272727,14.818181818181818,2019-05-19,gsc_property,worldwide,desktop,
tu ves,3.0,7.0,0.42857142857142855,1.4285714285714286,2019-05-19,gsc_property,worldwide,desktop,
tuves chile,3.0,6.0,0.5,1.0,2019-05-19,gsc_property,worldwide,desktop,
tuves hd gratis,2.0,3.0,0.6666666666666666,1.0,2019-05-19,gsc_property,worldwide,desktop,
tv cable online chile,2.0,20.0,0.1,9.2,2019-05-19,gsc_property,worldwide,desktop,
cable online tv,1.0,2.0,0.5,11.0,2019-05-19,gsc_property,worldwide,desktop,
canales,1.0,2.0,0.5,5.0,2019-05-19,gsc_property,worldwide,desktop,
canales online de pago,1.0,1.0,1.0,37.0,2019-05-19,gsc_property,worldwide,desktop,
hd,1.0,153.0,0.006535947712418301,11.013071895424837,2019-05-19,gsc_property,worldwide,desktop,
kaonmedia hdrec vm9130,1.0,2.0,0.5,2.0,2019-05-19,gsc_property,worldwide,desktop,
planes de tv cable,1.0,1.0,1.0,5.0,2019-05-19,gsc_property,worldwide,desktop,
televisión por cable,1.0,5.0,0.2,6.6,2019-05-19,gsc_property,worldwide,desktop,
tu tv hd,1.0,17.0,0.058823529411764705,5.588235294117647,2019-05-19,gsc_property,worldwide,desktop,
tu ves cable,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,desktop,
tu ves hd,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,desktop,
tuves internet,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,desktop,
tuves pago en linea con rut,1.0,1.0,1.0,2.0,2019-05-19,gsc_property,worldwide,desktop,
tuvez,1.0,3.0,0.3333333333333333,1.0,2019-05-19,gsc_property,worldwide,desktop,
tv cable tuves,1.0,1.0,1.0,1.0,2019-05-19,gsc_property,worldwide,desktop,
