Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves hd,61.0,87.0,0.7011494252873564,1.0,2019-05-01,gsc_property,worldwide,mobile,
tu ves,39.0,83.0,0.46987951807228917,1.2048192771084336,2019-05-01,gsc_property,worldwide,mobile,
tuves,37.0,88.0,0.42045454545454547,1.0909090909090908,2019-05-01,gsc_property,worldwide,mobile,
tuves.cl,32.0,41.0,0.7804878048780488,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuveshd,14.0,23.0,0.6086956521739131,1.0,2019-05-01,gsc_property,worldwide,mobile,
tu ves hd,11.0,26.0,0.4230769230769231,1.1153846153846154,2019-05-01,gsc_property,worldwide,mobile,
tuves hd chile,10.0,16.0,0.625,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuvez,9.0,11.0,0.8181818181818182,1.0,2019-05-01,gsc_property,worldwide,mobile,
canales online,7.0,92.0,0.07608695652173914,8.423913043478262,2019-05-01,gsc_property,worldwide,mobile,
tu tv,7.0,22.0,0.3181818181818182,1.7272727272727273,2019-05-01,gsc_property,worldwide,mobile,
tu ves cable,6.0,14.0,0.42857142857142855,1.0,2019-05-01,gsc_property,worldwide,mobile,
tu vez,6.0,9.0,0.6666666666666666,2.2222222222222223,2019-05-01,gsc_property,worldwide,mobile,
tuves chile,6.0,14.0,0.42857142857142855,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves pago,6.0,36.0,0.16666666666666666,2.0,2019-05-01,gsc_property,worldwide,mobile,
television satelital,4.0,16.0,0.25,2.0625,2019-05-01,gsc_property,worldwide,mobile,
tuves hd gratis,4.0,7.0,0.5714285714285714,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves programacion,4.0,5.0,0.8,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuveshd.cl,4.0,6.0,0.6666666666666666,1.0,2019-05-01,gsc_property,worldwide,mobile,
configuracion decodificador tuves,3.0,6.0,0.5,1.0,2019-05-01,gsc_property,worldwide,mobile,
televisión satelital,3.0,16.0,0.1875,3.4375,2019-05-01,gsc_property,worldwide,mobile,
tu veshd,3.0,3.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tu vez hd,3.0,7.0,0.42857142857142855,1.0,2019-05-01,gsc_property,worldwide,mobile,
tubes hd,3.0,5.0,0.6,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves cdf hd,3.0,8.0,0.375,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves hd chile planes,3.0,3.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tv satelital,3.0,26.0,0.11538461538461539,2.6538461538461537,2019-05-01,gsc_property,worldwide,mobile,
tves,3.0,11.0,0.2727272727272727,3.5454545454545454,2019-05-01,gsc_property,worldwide,mobile,
cable prepago,2.0,7.0,0.2857142857142857,3.7142857142857144,2019-05-01,gsc_property,worldwide,mobile,
mi.tuves,2.0,2.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
numero de telefono de tuves,2.0,8.0,0.25,1.875,2019-05-01,gsc_property,worldwide,mobile,
tu es hd,2.0,2.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves hd planes,2.0,2.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves numero,2.0,3.0,0.6666666666666666,1.6666666666666665,2019-05-01,gsc_property,worldwide,mobile,
tuves tv,2.0,2.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves. cl,2.0,4.0,0.5,1.0,2019-05-01,gsc_property,worldwide,mobile,
tv cable tuves,2.0,2.0,1.0,1.5,2019-05-01,gsc_property,worldwide,mobile,
tv hd gratis,2.0,7.0,0.2857142857142857,14.714285714285714,2019-05-01,gsc_property,worldwide,mobile,
tv prepago chile,2.0,2.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tv satelital prepago,2.0,2.0,1.0,2.0,2019-05-01,gsc_property,worldwide,mobile,
tveshd,2.0,2.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
6000 81 6000,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
cable tuves,1.0,2.0,0.5,1.0,2019-05-01,gsc_property,worldwide,mobile,
cable tuves hd,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
cable tv,1.0,19.0,0.05263157894736842,3.736842105263158,2019-05-01,gsc_property,worldwide,mobile,
call center tuves hd,1.0,2.0,0.5,1.0,2019-05-01,gsc_property,worldwide,mobile,
centro de pago tuves hd,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
como configurar control tuves hd,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
contratar tuves hd,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
contratar tv cable,1.0,8.0,0.125,6.125,2019-05-01,gsc_property,worldwide,mobile,
cual es el tv cable mas barato en chile,1.0,1.0,1.0,2.0,2019-05-01,gsc_property,worldwide,mobile,
empresas de cable,1.0,2.0,0.5,4.5,2019-05-01,gsc_property,worldwide,mobile,
hd tuves,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
mi punto tuves.cl,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
ns1410,1.0,1.0,1.0,4.0,2019-05-01,gsc_property,worldwide,mobile,
numero de tuves,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
pagar tu ves,1.0,2.0,0.5,2.0,2019-05-01,gsc_property,worldwide,mobile,
pagar tuves,1.0,36.0,0.027777777777777776,2.0,2019-05-01,gsc_property,worldwide,mobile,
pagar tuves con cuenta rut,1.0,1.0,1.0,2.0,2019-05-01,gsc_property,worldwide,mobile,
pagar tuves hd,1.0,6.0,0.16666666666666666,2.0,2019-05-01,gsc_property,worldwide,mobile,
pagar tv cable tuves,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
pago tuves hd,1.0,1.0,1.0,2.0,2019-05-01,gsc_property,worldwide,mobile,
plan television,1.0,1.0,1.0,9.0,2019-05-01,gsc_property,worldwide,mobile,
planes de television,1.0,3.0,0.3333333333333333,8.333333333333332,2019-05-01,gsc_property,worldwide,mobile,
programacion de canales,1.0,1.0,1.0,7.0,2019-05-01,gsc_property,worldwide,mobile,
programacion tv cable,1.0,6.0,0.16666666666666666,8.666666666666668,2019-05-01,gsc_property,worldwide,mobile,
programación tv cable,1.0,8.0,0.125,9.0,2019-05-01,gsc_property,worldwide,mobile,
servicios de cable,1.0,1.0,1.0,5.0,2019-05-01,gsc_property,worldwide,mobile,
soporte tecnico tuves hd,1.0,4.0,0.25,1.0,2019-05-01,gsc_property,worldwide,mobile,
te ve,1.0,1.0,1.0,4.0,2019-05-01,gsc_property,worldwide,mobile,
television cable,1.0,2.0,0.5,4.0,2019-05-01,gsc_property,worldwide,mobile,
television por cable en chile,1.0,2.0,0.5,6.0,2019-05-01,gsc_property,worldwide,mobile,
televisión por cable,1.0,3.0,0.3333333333333333,2.666666666666667,2019-05-01,gsc_property,worldwide,mobile,
tu ves tv,1.0,4.0,0.25,1.0,2019-05-01,gsc_property,worldwide,mobile,
tubehd,1.0,1.0,1.0,12.0,2019-05-01,gsc_property,worldwide,mobile,
tuhd,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuved,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves cable,1.0,4.0,0.25,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves canales,1.0,2.0,0.5,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves cl,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves en linea,1.0,7.0,0.14285714285714285,1.8571428571428572,2019-05-01,gsc_property,worldwide,mobile,
tuves fono,1.0,2.0,0.5,2.0,2019-05-01,gsc_property,worldwide,mobile,
tuves hd cdf hd,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves hd iquique,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves hd numero de telefono,1.0,2.0,0.5,2.0,2019-05-01,gsc_property,worldwide,mobile,
tuves pago en linea con rut,1.0,3.0,0.3333333333333333,2.0,2019-05-01,gsc_property,worldwide,mobile,
tuves prepago,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves s.a,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuves telefono,1.0,4.0,0.25,2.0,2019-05-01,gsc_property,worldwide,mobile,
tuves tv chile,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tuvestv,1.0,2.0,0.5,1.0,2019-05-01,gsc_property,worldwide,mobile,
tv cable,1.0,72.0,0.013888888888888888,3.375,2019-05-01,gsc_property,worldwide,mobile,
tv cable chile,1.0,5.0,0.2,3.0,2019-05-01,gsc_property,worldwide,mobile,
tv cable prepago chile,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tv cable satelital gratis sin pagos mensuales,1.0,2.0,0.5,8.0,2019-05-01,gsc_property,worldwide,mobile,
tv hd,1.0,33.0,0.030303030303030304,6.03030303030303,2019-05-01,gsc_property,worldwide,mobile,
tv hd online,1.0,3.0,0.3333333333333333,6.666666666666667,2019-05-01,gsc_property,worldwide,mobile,
tv satelital un solo pago,1.0,2.0,0.5,4.0,2019-05-01,gsc_property,worldwide,mobile,
tv tuves,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,mobile,
tvs hd,1.0,2.0,0.5,1.0,2019-05-01,gsc_property,worldwide,mobile,
+tv,0.0,6.0,0.0,8.333333333333332,2019-05-01,gsc_property,worldwide,mobile,
tuves hd,19.0,25.0,0.76,1.0,2019-05-01,gsc_property,worldwide,desktop,
tuves,15.0,26.0,0.5769230769230769,1.0,2019-05-01,gsc_property,worldwide,desktop,
tuves.cl,9.0,11.0,0.8181818181818182,1.0,2019-05-01,gsc_property,worldwide,desktop,
tuves programacion,8.0,8.0,1.0,1.0,2019-05-01,gsc_property,worldwide,desktop,
canales online,7.0,99.0,0.0707070707070707,8.030303030303031,2019-05-01,gsc_property,worldwide,desktop,
tu ves,4.0,11.0,0.36363636363636365,1.0,2019-05-01,gsc_property,worldwide,desktop,
tuveshd,4.0,6.0,0.6666666666666666,1.0,2019-05-01,gsc_property,worldwide,desktop,
tv cable,4.0,36.0,0.1111111111111111,2.916666666666667,2019-05-01,gsc_property,worldwide,desktop,
tuves chile,3.0,5.0,0.6,1.0,2019-05-01,gsc_property,worldwide,desktop,
tv satelital,3.0,16.0,0.1875,8.6875,2019-05-01,gsc_property,worldwide,desktop,
tu ves hd,2.0,6.0,0.3333333333333333,1.0,2019-05-01,gsc_property,worldwide,desktop,
tv hd online,2.0,6.0,0.3333333333333333,7.166666666666667,2019-05-01,gsc_property,worldwide,desktop,
cable chile,1.0,3.0,0.3333333333333333,4.333333333333334,2019-05-01,gsc_property,worldwide,desktop,
chile tv cable,1.0,1.0,1.0,2.0,2019-05-01,gsc_property,worldwide,desktop,
clave deco tuves hd,1.0,1.0,1.0,10.0,2019-05-01,gsc_property,worldwide,desktop,
guia de canales,1.0,6.0,0.16666666666666666,26.833333333333332,2019-05-01,gsc_property,worldwide,desktop,
hd television,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,desktop,
pagar tv cable tuves,1.0,2.0,0.5,1.0,2019-05-01,gsc_property,worldwide,desktop,
television online de pago,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,desktop,
television por cable,1.0,6.0,0.16666666666666666,5.0,2019-05-01,gsc_property,worldwide,desktop,
tu tv online,1.0,1.0,1.0,10.0,2019-05-01,gsc_property,worldwide,desktop,
tu ve,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,desktop,
tubes hd,1.0,3.0,0.3333333333333333,1.0,2019-05-01,gsc_property,worldwide,desktop,
tuves hd chile,1.0,2.0,0.5,1.0,2019-05-01,gsc_property,worldwide,desktop,
tuves hd gratis,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,desktop,
tuves hd reclamos,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,desktop,
tuves online,1.0,2.0,0.5,1.5,2019-05-01,gsc_property,worldwide,desktop,
tuves tv,1.0,2.0,0.5,1.0,2019-05-01,gsc_property,worldwide,desktop,
tv cable chile,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,desktop,
tv hd,1.0,19.0,0.05263157894736842,7.894736842105263,2019-05-01,gsc_property,worldwide,desktop,
tv por internet chile,1.0,1.0,1.0,7.0,2019-05-01,gsc_property,worldwide,desktop,
tv satelital gratis chile,1.0,1.0,1.0,9.0,2019-05-01,gsc_property,worldwide,desktop,
tv satelital online,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,desktop,
www.tuves.cl,1.0,1.0,1.0,1.0,2019-05-01,gsc_property,worldwide,desktop,
www.tves,1.0,1.0,1.0,2.0,2019-05-01,gsc_property,worldwide,desktop,
+tv,0.0,2.0,0.0,7.0,2019-05-01,gsc_property,worldwide,desktop,
almagro padre hurtado,0.0,1.0,0.0,65.0,2019-05-01,gsc_property,worldwide,desktop,
amc programacion argentina,0.0,1.0,0.0,70.0,2019-05-01,gsc_property,worldwide,desktop,
antena satelital para tv,0.0,1.0,0.0,61.0,2019-05-01,gsc_property,worldwide,desktop,
antena tv,0.0,1.0,0.0,70.0,2019-05-01,gsc_property,worldwide,desktop,
antena tv satelital,0.0,2.0,0.0,9.0,2019-05-01,gsc_property,worldwide,desktop,
arrienda,0.0,1.0,0.0,36.0,2019-05-01,gsc_property,worldwide,desktop,
ayuda,0.0,1.0,0.0,36.0,2019-05-01,gsc_property,worldwide,desktop,
banco estado ciudad empresarial,0.0,1.0,0.0,51.0,2019-05-01,gsc_property,worldwide,desktop,
boleta cge,0.0,1.0,0.0,58.0,2019-05-01,gsc_property,worldwide,desktop,
cable,0.0,3.0,0.0,11.666666666666666,2019-05-01,gsc_property,worldwide,desktop,
cable barato sin contrato,0.0,1.0,0.0,49.0,2019-05-01,gsc_property,worldwide,desktop,
cable de television,0.0,1.0,0.0,5.0,2019-05-01,gsc_property,worldwide,desktop,
cable por internet chile,0.0,3.0,0.0,8.0,2019-05-01,gsc_property,worldwide,desktop,
cable satelital,0.0,1.0,0.0,1.0,2019-05-01,gsc_property,worldwide,desktop,
cable satelital gratis,0.0,1.0,0.0,8.0,2019-05-01,gsc_property,worldwide,desktop,
cable tv,0.0,8.0,0.0,2.875,2019-05-01,gsc_property,worldwide,desktop,
cable tv canales,0.0,1.0,0.0,7.0,2019-05-01,gsc_property,worldwide,desktop,
cables gratis tv,0.0,1.0,0.0,46.0,2019-05-01,gsc_property,worldwide,desktop,
caja vecina cerca de mi ubicacion,0.0,1.0,0.0,68.0,2019-05-01,gsc_property,worldwide,desktop,
cajavecina,0.0,1.0,0.0,44.0,2019-05-01,gsc_property,worldwide,desktop,
canal 13 programacion,0.0,3.0,0.0,55.666666666666664,2019-05-01,gsc_property,worldwide,desktop,
canal 13 programación,0.0,1.0,0.0,68.0,2019-05-01,gsc_property,worldwide,desktop,
canal a&e en vivo,0.0,1.0,0.0,93.0,2019-05-01,gsc_property,worldwide,desktop,
canal adultos gratis,0.0,1.0,0.0,105.0,2019-05-01,gsc_property,worldwide,desktop,
canal es,0.0,2.0,0.0,8.0,2019-05-01,gsc_property,worldwide,desktop,
canal premium,0.0,1.0,0.0,10.0,2019-05-01,gsc_property,worldwide,desktop,
canal venus online,0.0,1.0,0.0,61.0,2019-05-01,gsc_property,worldwide,desktop,
canale,0.0,1.0,0.0,8.0,2019-05-01,gsc_property,worldwide,desktop,
canale online,0.0,2.0,0.0,8.5,2019-05-01,gsc_property,worldwide,desktop,
canale sonline,0.0,2.0,0.0,6.5,2019-05-01,gsc_property,worldwide,desktop,
canales adulto online,0.0,1.0,0.0,8.0,2019-05-01,gsc_property,worldwide,desktop,
canales adultos online,0.0,1.0,0.0,45.0,2019-05-01,gsc_property,worldwide,desktop,
canales cable,0.0,2.0,0.0,10.0,2019-05-01,gsc_property,worldwide,desktop,
canales cables,0.0,1.0,0.0,1.0,2019-05-01,gsc_property,worldwide,desktop,
canales chilenos online,0.0,2.0,0.0,69.0,2019-05-01,gsc_property,worldwide,desktop,
canales d,0.0,1.0,0.0,43.0,2019-05-01,gsc_property,worldwide,desktop,
canales de bolivia en vivo,0.0,1.0,0.0,87.0,2019-05-01,gsc_property,worldwide,desktop,
canales de chile,0.0,1.0,0.0,23.0,2019-05-01,gsc_property,worldwide,desktop,
canales de claro tv basico,0.0,1.0,0.0,76.0,2019-05-01,gsc_property,worldwide,desktop,
canales de futbol,0.0,1.0,0.0,70.0,2019-05-01,gsc_property,worldwide,desktop,
canales de musica,0.0,1.0,0.0,37.0,2019-05-01,gsc_property,worldwide,desktop,
canales de paga en vivo,0.0,1.0,0.0,59.0,2019-05-01,gsc_property,worldwide,desktop,
canales de santiago,0.0,1.0,0.0,9.0,2019-05-01,gsc_property,worldwide,desktop,
canales de tv cable prepago,0.0,1.0,0.0,10.0,2019-05-01,gsc_property,worldwide,desktop,
canales de tvcable,0.0,1.0,0.0,7.0,2019-05-01,gsc_property,worldwide,desktop,
canales del cable online,0.0,1.0,0.0,23.0,2019-05-01,gsc_property,worldwide,desktop,
canales directv prepago,0.0,1.0,0.0,56.0,2019-05-01,gsc_property,worldwide,desktop,
canales en hd,0.0,1.0,0.0,45.0,2019-05-01,gsc_property,worldwide,desktop,
canales en linea,0.0,1.0,0.0,14.0,2019-05-01,gsc_property,worldwide,desktop,
canales en vivo,0.0,1.0,0.0,59.0,2019-05-01,gsc_property,worldwide,desktop,
canales has,0.0,1.0,0.0,1.0,2019-05-01,gsc_property,worldwide,desktop,
canales hd,0.0,2.0,0.0,48.0,2019-05-01,gsc_property,worldwide,desktop,
canales hd chile,0.0,1.0,0.0,18.0,2019-05-01,gsc_property,worldwide,desktop,
canales hd online,0.0,1.0,0.0,7.0,2019-05-01,gsc_property,worldwide,desktop,
canales nacionales,0.0,1.0,0.0,58.0,2019-05-01,gsc_property,worldwide,desktop,
canales nacionales hd,0.0,1.0,0.0,25.0,2019-05-01,gsc_property,worldwide,desktop,
canales oline,0.0,1.0,0.0,7.0,2019-05-01,gsc_property,worldwide,desktop,
canales on line,0.0,4.0,0.0,9.75,2019-05-01,gsc_property,worldwide,desktop,
canales online hd,0.0,1.0,0.0,9.0,2019-05-01,gsc_property,worldwide,desktop,
canales online tv,0.0,1.0,0.0,27.0,2019-05-01,gsc_property,worldwide,desktop,
