Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves hd,61.0,82.0,0.7439024390243902,1.0,2019-05-11,gsc_property,worldwide,mobile,
tuves,43.0,56.0,0.7678571428571429,1.0357142857142858,2019-05-11,gsc_property,worldwide,mobile,
tu ves,36.0,70.0,0.5142857142857142,1.2285714285714286,2019-05-11,gsc_property,worldwide,mobile,
tuves chile,29.0,50.0,0.58,1.0,2019-05-11,gsc_property,worldwide,mobile,
tuves hd planes,25.0,34.0,0.7352941176470589,1.0,2019-05-11,gsc_property,worldwide,mobile,
tu ves hd,16.0,22.0,0.7272727272727273,1.0,2019-05-11,gsc_property,worldwide,mobile,
tuves hd chile,12.0,15.0,0.8,1.0,2019-05-11,gsc_property,worldwide,mobile,
tuves.cl,8.0,10.0,0.8,1.0,2019-05-11,gsc_property,worldwide,mobile,
tv cable,8.0,69.0,0.11594202898550725,4.028985507246377,2019-05-11,gsc_property,worldwide,mobile,
tuveshd,7.0,14.0,0.5,1.0,2019-05-11,gsc_property,worldwide,mobile,
tu ves cable,6.0,10.0,0.6,1.0,2019-05-11,gsc_property,worldwide,mobile,
mi punto tuves.cl,5.0,5.0,1.0,1.0,2019-05-11,gsc_property,worldwide,mobile,
tuves hd cdf hd,5.0,7.0,0.7142857142857143,1.0,2019-05-11,gsc_property,worldwide,mobile,
tuves hd iquique,4.0,4.0,1.0,1.0,2019-05-11,gsc_property,worldwide,mobile,
numero de telefono de tuves,3.0,9.0,0.3333333333333333,1.7777777777777777,2019-05-11,gsc_property,worldwide,mobile,
tuves hd canales,3.0,3.0,1.0,1.0,2019-05-11,gsc_property,worldwide,mobile,
tuvez,3.0,3.0,1.0,1.0,2019-05-11,gsc_property,worldwide,mobile,
tvs hd,3.0,7.0,0.42857142857142855,1.0,2019-05-11,gsc_property,worldwide,mobile,
cable,2.0,13.0,0.15384615384615385,10.538461538461538,2019-05-11,gsc_property,worldwide,mobile,
cable tv,2.0,10.0,0.2,4.4,2019-05-11,gsc_property,worldwide,mobile,
call center tuves,2.0,2.0,1.0,1.0,2019-05-11,gsc_property,worldwide,mobile,
hd tuves,2.0,4.0,0.5,1.0,2019-05-11,gsc_property,worldwide,mobile,
mi.tuves,2.0,3.0,0.6666666666666666,1.0,2019-05-11,gsc_property,worldwide,mobile,
numero de tuves,2.0,8.0,0.25,1.875,2019-05-11,gsc_property,worldwide,mobile,
número de tuves,2.0,2.0,1.0,1.5,2019-05-11,gsc_property,worldwide,mobile,
planes de tv cable,2.0,5.0,0.4,6.4,2019-05-11,gsc_property,worldwide,mobile,
problemas con tuves hd,2.0,5.0,0.4,1.0,2019-05-11,gsc_property,worldwide,mobile,
