Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves hd,56.0,76.0,0.7368421052631579,1.013157894736842,2019-05-07,gsc_property,worldwide,mobile,
tuves,41.0,68.0,0.6029411764705882,1.0441176470588236,2019-05-07,gsc_property,worldwide,mobile,
tuves chile,32.0,49.0,0.6530612244897959,1.0,2019-05-07,gsc_property,worldwide,mobile,
tu ves,27.0,49.0,0.5510204081632653,1.2244897959183674,2019-05-07,gsc_property,worldwide,mobile,
tu ves hd,21.0,30.0,0.7,1.0,2019-05-07,gsc_property,worldwide,mobile,
tuves hd planes,13.0,23.0,0.5652173913043478,1.0,2019-05-07,gsc_property,worldwide,mobile,
tuves hd chile,12.0,17.0,0.7058823529411765,1.0,2019-05-07,gsc_property,worldwide,mobile,
tuves.cl,9.0,12.0,0.75,1.0,2019-05-07,gsc_property,worldwide,mobile,
tv hd,6.0,32.0,0.1875,4.71875,2019-05-07,gsc_property,worldwide,mobile,
cable tuves,4.0,5.0,0.8,1.0,2019-05-07,gsc_property,worldwide,mobile,
tu ves cable,4.0,8.0,0.5,1.0,2019-05-07,gsc_property,worldwide,mobile,
tu vez hd,4.0,7.0,0.5714285714285714,1.0,2019-05-07,gsc_property,worldwide,mobile,
tuveshd,4.0,9.0,0.4444444444444444,1.1111111111111112,2019-05-07,gsc_property,worldwide,mobile,
tv cable,4.0,75.0,0.05333333333333334,4.386666666666667,2019-05-07,gsc_property,worldwide,mobile,
cable tv,3.0,19.0,0.15789473684210525,3.3684210526315788,2019-05-07,gsc_property,worldwide,mobile,
numero tuves,3.0,3.0,1.0,1.6666666666666665,2019-05-07,gsc_property,worldwide,mobile,
pagar tv cable tuves,3.0,4.0,0.75,1.0,2019-05-07,gsc_property,worldwide,mobile,
soporte tecnico tuves hd,3.0,5.0,0.6,1.0,2019-05-07,gsc_property,worldwide,mobile,
televisión satelital,3.0,16.0,0.1875,3.25,2019-05-07,gsc_property,worldwide,mobile,
tu tv,3.0,14.0,0.21428571428571427,1.4285714285714286,2019-05-07,gsc_property,worldwide,mobile,
tu vezhd,3.0,3.0,1.0,1.0,2019-05-07,gsc_property,worldwide,mobile,
tuves hd iquique,3.0,4.0,0.75,1.0,2019-05-07,gsc_property,worldwide,mobile,
tv cable chile,3.0,7.0,0.42857142857142855,3.2857142857142856,2019-05-07,gsc_property,worldwide,mobile,
tves hd,3.0,3.0,1.0,1.0,2019-05-07,gsc_property,worldwide,mobile,
www.tuves.cl,3.0,3.0,1.0,1.0,2019-05-07,gsc_property,worldwide,mobile,
configuracion decodificador tuves,2.0,4.0,0.5,1.0,2019-05-07,gsc_property,worldwide,mobile,
mi punto tuves.cl,2.0,2.0,1.0,1.0,2019-05-07,gsc_property,worldwide,mobile,
pagar tuves hd,2.0,9.0,0.2222222222222222,2.0,2019-05-07,gsc_property,worldwide,mobile,
servicio al cliente tuves hd,2.0,2.0,1.0,1.0,2019-05-07,gsc_property,worldwide,mobile,
tu tv hd,2.0,27.0,0.07407407407407407,4.666666666666666,2019-05-07,gsc_property,worldwide,mobile,
tu vez,2.0,6.0,0.3333333333333333,1.0,2019-05-07,gsc_property,worldwide,mobile,
tuves hd gratis,2.0,3.0,0.6666666666666666,1.0,2019-05-07,gsc_property,worldwide,mobile,
tuves hd pagar,2.0,3.0,0.6666666666666666,2.0,2019-05-07,gsc_property,worldwide,mobile,
tuves hd pago en línea,2.0,3.0,0.6666666666666666,2.0,2019-05-07,gsc_property,worldwide,mobile,
tuves hd pagos,2.0,5.0,0.4,2.0,2019-05-07,gsc_property,worldwide,mobile,
tuves online,2.0,2.0,1.0,1.0,2019-05-07,gsc_property,worldwide,mobile,
tuves pago,2.0,22.0,0.09090909090909091,2.0,2019-05-07,gsc_property,worldwide,mobile,
tuves tv,2.0,2.0,1.0,1.0,2019-05-07,gsc_property,worldwide,mobile,
www tuves cl,2.0,2.0,1.0,1.0,2019-05-07,gsc_property,worldwide,mobile,
cable chile,1.0,4.0,0.25,8.25,2019-05-07,gsc_property,worldwide,mobile,
cable prepago,1.0,3.0,0.3333333333333333,3.0,2019-05-07,gsc_property,worldwide,mobile,
cable prepago claro,1.0,2.0,0.5,7.0,2019-05-07,gsc_property,worldwide,mobile,
como configurar control tuves hd,1.0,1.0,1.0,1.0,2019-05-07,gsc_property,worldwide,mobile,
