Keyword,Clicks,Impressions,CTR,Position
b'keiphone',269.0,354.0,0.7598870056497176,1.0
b'keyphone',41.0,51.0,0.803921568627451,1.0
b'keiphone smartwatch',16.0,26.0,0.6153846153846154,1.0
b'celular chileno',14.0,35.0,0.4,1.0
b'keiphone k10',14.0,25.0,0.56,1.0
b'k10 helio',11.0,22.0,0.5,1.0
b'keiphone chile',11.0,13.0,0.8461538461538461,1.0
b'smartphone chileno',9.0,12.0,0.75,1.0
b'kei f7',8.0,12.0,0.6666666666666666,1.0833333333333333
b'celulares chilenos',7.0,16.0,0.4375,2.75
