,Clicks,Impressions,CTR,Position,Date,Device
0,0.0,2.0,0.0,14.5,2019-01-01,tablet
0,0.0,0.0,,,,
0,0.0,4.0,0.0,7.0,2019-01-03,tablet
0,2.0,4.0,0.5,3.3333333333333335,2019-01-04,tablet
